doc_id,chunk_index_a,chunk_index_b,chunk_id_a,chunk_id_b,jaccard_tokens_consecutivos,n_tokens_a,n_tokens_b
doc_012fe174842b390e,1,2,doc_012fe174842b390e_ch_0001,doc_012fe174842b390e_ch_0002,0.2167,68,78
doc_012fe174842b390e,2,3,doc_012fe174842b390e_ch_0002,doc_012fe174842b390e_ch_0003,0.2754,78,98
doc_012fe174842b390e,3,4,doc_012fe174842b390e_ch_0003,doc_012fe174842b390e_ch_0004,0.2254,98,76
doc_012fe174842b390e,4,5,doc_012fe174842b390e_ch_0004,doc_012fe174842b390e_ch_0005,0.2439,76,77
doc_012fe174842b390e,5,6,doc_012fe174842b390e_ch_0005,doc_012fe174842b390e_ch_0006,0.1913,77,60
doc_012fe174842b390e,6,7,doc_012fe174842b390e_ch_0006,doc_012fe174842b390e_ch_0007,0.1681,60,79
doc_012fe174842b390e,7,8,doc_012fe174842b390e_ch_0007,doc_012fe174842b390e_ch_0008,0.224,79,74
doc_012fe174842b390e,8,9,doc_012fe174842b390e_ch_0008,doc_012fe174842b390e_ch_0009,0.2647,74,98
doc_012fe174842b390e,9,10,doc_012fe174842b390e_ch_0009,doc_012fe174842b390e_ch_0010,0.1929,98,69
doc_012fe174842b390e,10,11,doc_012fe174842b390e_ch_0010,doc_012fe174842b390e_ch_0011,0.1951,69,78
doc_012fe174842b390e,11,12,doc_012fe174842b390e_ch_0011,doc_012fe174842b390e_ch_0012,0.2016,78,71
doc_012fe174842b390e,12,13,doc_012fe174842b390e_ch_0012,doc_012fe174842b390e_ch_0013,0.2389,71,69
doc_012fe174842b390e,13,14,doc_012fe174842b390e_ch_0013,doc_012fe174842b390e_ch_0014,0.1983,69,70
doc_012fe174842b390e,14,15,doc_012fe174842b390e_ch_0014,doc_012fe174842b390e_ch_0015,0.2,70,56
doc_012fe174842b390e,15,16,doc_012fe174842b390e_ch_0015,doc_012fe174842b390e_ch_0016,0.3056,56,85
doc_012fe174842b390e,16,17,doc_012fe174842b390e_ch_0016,doc_012fe174842b390e_ch_0017,0.2123,85,92
doc_012fe174842b390e,17,18,doc_012fe174842b390e_ch_0017,doc_012fe174842b390e_ch_0018,0.2803,92,77
