doc_id,n_chunks,chars_total_chunks,chars_mean_chunk,chars_median_chunk,chars_min_chunk,chars_max_chunk,words_total_chunks,chunk_index_min,chunk_index_max,chunk_index_missing_count,chunk_index_duplicate_count
doc_012fe174842b390e,29,33831,1166.6,1195.0,395,1199,5754,1,29,0,0
doc_02c37e00145d9a32,64,75628,1181.7,1196.5,338,1199,13110,1,64,0,0
doc_047d9aa2d7261b26,127,150875,1188.0,1196.0,357,1199,25766,1,127,0,0
doc_0a02c0b1be74620a,32,37661,1176.9,1196.5,594,1199,6533,1,32,0,0
doc_0dc2e6ecde931dc0,140,167199,1194.3,1195.5,1178,1199,28921,1,140,0,0
doc_0e16de972b72d565,55,64829,1178.7,1196.0,287,1199,11115,1,55,0,0
doc_0f20528122df94e9,54,64425,1193.1,1196.0,1099,1199,11118,1,54,0,0
doc_1029b8f4fef9beca,106,126419,1192.6,1196.0,1116,1199,20682,1,106,0,0
doc_1055808810073bc2,31,36752,1185.5,1196.0,889,1199,6352,1,31,0,0
doc_11e122f8db3f0253,15,17225,1148.3,1196.0,502,1199,2979,1,15,0,0
doc_124f0c4d1195ab02,48,56632,1179.8,1197.0,427,1199,10037,1,48,0,0
doc_12c6ce2d2fba4df1,82,97437,1188.3,1196.0,630,1199,17158,1,82,0,0
doc_1434a07027866aa7,32,37532,1172.9,1195.5,479,1199,6502,1,32,0,0
doc_14deab54cdbd6aa1,44,51726,1175.6,1196.5,339,1199,8851,1,44,0,0
doc_1cecf4bbb8f06cf1,74,87692,1185.0,1196.5,442,1199,15119,1,74,0,0
doc_1d7aeba5c3deb241,76,89873,1182.5,1196.0,298,1199,15471,1,76,0,0
doc_1e5ee5a39b2288b7,26,30906,1188.7,1196.0,1027,1199,5257,1,26,0,0
doc_20c080a645217030,130,154275,1186.7,1195.0,311,1199,26320,1,130,0,0
doc_25b8560e3c990709,109,129986,1192.5,1196.0,937,1199,22555,1,109,0,0
doc_27d3eb4bf6306e35,25,29855,1194.2,1197.0,1137,1199,5375,1,25,0,0
doc_295321b3ea85e862,105,124657,1187.2,1195.0,570,1199,20440,1,105,0,0
doc_2da4b14181ace08e,105,124927,1189.8,1196.0,736,1199,20682,1,105,0,0
doc_2e794b5b52308c61,82,96986,1182.8,1195.0,270,1199,16302,1,82,0,0
doc_2ea20bb0263aff60,109,130059,1193.2,1195.0,1081,1199,22233,1,109,0,0
doc_2f47184626ff09c1,115,137337,1194.2,1195.0,1175,1199,23273,1,115,0,0
doc_2fad00e3ce11f4af,58,68818,1186.5,1196.0,679,1199,12437,1,58,0,0
doc_2fd5110893661ffc,36,42558,1182.2,1195.0,745,1199,7383,1,36,0,0
doc_304cab7668293378,91,108448,1191.7,1196.0,975,1199,18483,1,91,0,0
doc_31188a538d1b01b5,51,60168,1179.8,1196.0,445,1199,10371,1,51,0,0
doc_31b742a33ba14cee,99,117512,1187.0,1197.0,404,1199,19831,1,99,0,0
doc_33640fb8f77ec4a8,65,77737,1196.0,1197.0,1187,1199,13504,1,65,0,0
doc_33806bf9e4eb621f,24,27597,1149.9,1193.0,177,1199,4798,1,24,0,0
doc_35dea0d9c934b094,85,101370,1192.6,1196.0,1005,1199,18161,1,85,0,0
doc_362e84f5248b2753,3,3393,1131.0,1193.0,1002,1198,540,1,3,0,0
doc_363006063b67a33f,88,105030,1193.5,1195.0,1150,1199,17684,1,88,0,0
doc_3662c092fa45c669,57,67388,1182.2,1196.0,523,1199,11516,1,57,0,0
doc_37e5a363a19d31b7,23,27265,1185.4,1195.0,969,1199,4718,1,23,0,0
doc_39321562bc6f4763,107,127282,1189.6,1196.0,617,1199,21863,1,107,0,0
doc_399dacb2736f0f29,94,111809,1189.5,1195.0,729,1199,20023,1,94,0,0
doc_3a9c3f93806290fb,111,132003,1189.2,1196.0,540,1199,22668,1,111,0,0
doc_3d71a73387cbd4a7,101,120559,1193.7,1196.0,1098,1199,20882,1,101,0,0
doc_40a5bd913d6434d3,101,119840,1186.5,1196.0,353,1199,20547,1,101,0,0
doc_44982372dd74c6da,53,63125,1191.0,1196.0,979,1199,11037,1,53,0,0
doc_474985d7ea9b5b8b,89,106113,1192.3,1195.0,1013,1199,18949,1,89,0,0
doc_478cbac543cfa72a,104,123239,1185.0,1196.0,153,1199,21080,1,104,0,0
doc_4b2394cc0e9c67f8,53,63200,1192.5,1196.0,1043,1199,11096,1,53,0,0
doc_4b466654cd374bdf,136,161232,1185.5,1195.0,217,1199,27356,1,136,0,0
doc_4fb6c79b4c64bba8,131,155554,1187.4,1195.0,282,1199,26872,1,131,0,0
doc_500a84cf9936a539,53,62525,1179.7,1196.0,335,1199,11134,1,53,0,0
doc_5054173bba881d3a,6,6489,1081.5,1196.0,515,1198,1098,1,6,0,0
doc_52108ac94ef635f9,52,62014,1192.6,1195.5,1076,1199,10522,1,52,0,0
doc_52dd07d4014ead58,75,89238,1189.8,1197.0,752,1199,15937,1,75,0,0
doc_5382bf57549b07cb,85,100884,1186.9,1196.0,454,1199,18005,1,85,0,0
doc_57600d8711fbb9d4,59,69812,1183.3,1196.0,501,1199,12229,1,59,0,0
doc_5c06d290f301eadb,29,34389,1185.8,1195.0,958,1198,6023,1,29,0,0
doc_5e45678d66a9df7e,69,81448,1180.4,1196.0,192,1199,14429,1,69,0,0
doc_5e6540144b9030fe,37,44067,1191.0,1196.0,1052,1199,7786,1,37,0,0
doc_5e9eef5d22c00bcf,117,139011,1188.1,1196.0,413,1199,23759,1,117,0,0
doc_6446f54127e74c2d,130,154758,1190.4,1195.0,740,1199,26360,1,130,0,0
doc_66b40b2eb6436092,92,109861,1194.1,1196.0,1142,1199,18421,1,92,0,0
doc_6a7dc800256491db,79,93638,1185.3,1196.0,412,1199,16924,1,79,0,0
doc_6da518659b1ee271,112,132609,1184.0,1195.0,279,1199,22800,1,112,0,0
doc_6e02133bb486de22,69,82436,1194.7,1197.0,1133,1199,14645,1,69,0,0
