doc_id,n_chunks,min_chunk_index,max_chunk_index,n_missing_indices,missing_indices_sample,n_duplicate_indices,mean_words_per_chunk,p10_words_per_chunk,p90_words_per_chunk
doc_012fe174842b390e,29,1,29,0,[],0,147.97,131.8,166.2
doc_02c37e00145d9a32,64,1,64,0,[],0,165.08,149.3,181.7
doc_047d9aa2d7261b26,127,1,127,0,[],0,148.27,125.4,176.4
doc_0a02c0b1be74620a,32,1,32,0,[],0,174.0,156.9,190.7
doc_0dc2e6ecde931dc0,140,1,140,0,[],0,154.38,132.9,175.0
doc_0e16de972b72d565,55,1,55,0,[],0,162.38,146.4,180.6
doc_0f20528122df94e9,54,1,54,0,[],0,168.67,155.3,181.8
doc_1029b8f4fef9beca,106,1,106,0,[],0,155.23,135.5,175.0
doc_1055808810073bc2,31,1,31,0,[],0,161.16,145.0,178.0
doc_11e122f8db3f0253,15,1,15,0,[],0,165.27,143.6,187.0
doc_124f0c4d1195ab02,48,1,48,0,[],0,162.98,146.0,188.2
doc_12c6ce2d2fba4df1,82,1,82,0,[],0,168.54,147.1,188.8
doc_1434a07027866aa7,32,1,32,0,[],0,163.16,138.7,184.9
doc_14deab54cdbd6aa1,44,1,44,0,[],0,165.68,149.6,185.7
doc_1cecf4bbb8f06cf1,74,1,74,0,[],0,148.12,127.0,169.7
doc_1d7aeba5c3deb241,76,1,76,0,[],0,164.66,146.0,180.5
doc_1e5ee5a39b2288b7,26,1,26,0,[],0,161.58,141.0,176.5
doc_20c080a645217030,130,1,130,0,[],0,159.13,134.9,178.0
doc_25b8560e3c990709,109,1,109,0,[],0,173.88,140.8,194.2
doc_27d3eb4bf6306e35,25,1,25,0,[],0,182.44,163.8,198.2
doc_295321b3ea85e862,105,1,105,0,[],0,133.18,116.4,152.0
doc_2da4b14181ace08e,105,1,105,0,[],0,157.14,127.4,177.0
doc_2e794b5b52308c61,82,1,82,0,[],0,153.79,134.1,176.9
doc_2ea20bb0263aff60,109,1,109,0,[],0,147.96,130.8,167.4
doc_2f47184626ff09c1,115,1,115,0,[],0,142.23,119.4,163.0
doc_2fad00e3ce11f4af,58,1,58,0,[],0,172.9,150.7,194.0
doc_2fd5110893661ffc,36,1,36,0,[],0,168.75,148.0,185.0
doc_304cab7668293378,91,1,91,0,[],0,165.3,144.0,185.0
doc_31188a538d1b01b5,51,1,51,0,[],0,172.1,160.0,189.0
doc_31b742a33ba14cee,99,1,99,0,[],0,164.86,142.0,184.4
doc_33640fb8f77ec4a8,65,1,65,0,[],0,172.98,150.4,188.0
doc_33806bf9e4eb621f,24,1,24,0,[],0,165.5,152.2,184.9
doc_35dea0d9c934b094,85,1,85,0,[],0,172.6,152.4,191.0
doc_362e84f5248b2753,3,1,3,0,[],0,114.33,100.6,124.6
doc_363006063b67a33f,88,1,88,0,[],0,157.23,136.7,175.0
doc_3662c092fa45c669,57,1,57,0,[],0,166.12,149.6,182.4
doc_37e5a363a19d31b7,23,1,23,0,[],0,164.91,146.0,185.6
doc_39321562bc6f4763,107,1,107,0,[],0,171.38,147.6,189.4
doc_399dacb2736f0f29,94,1,94,0,[],0,173.41,152.0,191.0
doc_3a9c3f93806290fb,111,1,111,0,[],0,161.45,143.0,179.0
