doc_id,chunk_id,chunk_index,idioma,texto_analise,n_chars,n_words,n_tokens_diag,n_tokens_unicos_diag,token_unique_ratio_diag,n_function_words_diag,function_word_ratio_diag,short_token_ratio_diag,idioma_detectado_light,flag_audio_video_filename,flag_generic_filename,flag_timestamp_hhmmss,flag_speaker_label_long,flag_speaker_label_short,flag_date_like,flag_email,flag_phone_br_like,flag_cpf_like,flag_cep_like,flag_url,n_noise_flags,is_too_short,is_too_long,is_low_lexical_diversity,is_high_function_word_ratio,is_mixed_or_unknown_language,has_many_noise_flags,n_problem_flags,quality_bucket
doc_474985d7ea9b5b8b,doc_474985d7ea9b5b8b_ch_0037,37,es,"44:06
 
 No, en lo absoluto, ya hay demasiado de eso para que algo que tiene que ver con el bienestar y con el poder estar 
bien se convierta en una obligación más y en algo que hay que decir, bueno, yo para conseguir esto tengo que sí o 
sí hacer esto. Yo acepto que en mi caso particular soy flexible, soy absolutamente flexible, porque si no eso, es 
como agregar leña a un lugar que está caldeado. 
 
 
 
 
Speaker 1 - 44:31
 
 Perfecto, clarísimo, Meli. Bien, bien. ¿Hay algo de lo que se acuerden, digo, ¿Hay algo que sientan que no les 
representó o algo de lo que leímos que no? Que no iba en línea con lo que piensen después ahora la vamos a 
volver a ver, pero más o menos, o sea, con la. Con la primera lectura que hicimos, ¿Algo que les haya hecho ruido, 
que les haya generado alguna incomodidad? No. OK, Bien, vamos entonces a ver. ¿Antes de esto, la idea para 
ustedes tiene que ver con el día de la madre o desde qué lugar la podemos vincular con ese día? 
 
 
 
 
 
Speaker 5 - 45:20
 
 Sí, porque especialmente el día de la madre, el día de la madre se asocia el regalo, entonces. 
 
 
Speaker 2 - 45:30
 
Meeting Title: Q1_Bem Mães_ARG.m4a Meeting created at: 20th Mar, 2026 -",1195,201,201,102,0.5075,93,0.4627,0.2587,mixed,True,False,True,False,True,False,False,False,False,False,False,3,False,True,False,True,True,True,4,crítico
doc_948ae088c8e6f14c,doc_948ae088c8e6f14c_ch_0028,28,es,"mencionan o que está estructurado, es 
como que está en equilibrio con la naturaleza como comentaron hace rato, como decirlo así como 
Meeting Title: DG4_Jack Pearson_3110_22h00.m4a Meeting created at: 12th Mar, 2026 - 1:15 PM
18 / 50
autosustentable, que está en ese tipo como equilibrio y que a la vez está como el hecho de vida, tener una mejor 
calidad de vida, o sea, sin dañar el medio ambiente para tu cuidado personal, así yo lo relaciono las dos, tanto el 
Bio como el Biotech? 
 
 
 
 
Speaker 6 - 36:13
 
 ¿A mí en lo personal sí es un nombre corto, sí es bueno, pero el más o el plus no me termina de convencer, como 
que es, lo siento yo muy vago en el sentido de que más pero más que, o sea, yo siento como que le falta 
especificarse, o sea, nada más dice Bio más o Bio plus, pero más que, cuál es el plus, cuál es el punch que da ese 
más? No, yo sigo quedándome con Biotech porque habla inconciso de lo que es corto, fuerte y este también es 
corto, pero me deja más dudas en el sentido de que, OK, más pero más que, o sea, más seguridad, más, 
 
 
 
 
Speaker 1 - 37:04
 
 Es. 
 
 
 
 
 
Speaker 5 - 37:04
 
 Que Nicolás, no, que sí da poca información, como decía Luis, como que.",1198,202,202,98,0.4851,94,0.4653,0.2921,mixed,True,False,True,False,True,False,False,False,False,False,False,3,False,True,False,True,True,True,4,crítico
doc_96f34760018e32cc,doc_96f34760018e32cc_ch_0075,75,es,"o podría. Sí, adelante. 
 
 
 
 
 
Speaker 3 - 01:23:53
 
 ¿Es como que te interroga, como que te plantea algo y sí, o sea, si cambias esto, como que la marca en sí yo creo 
que plantea eso, tipo Natura es como natural, es distinta pues como que bueno, no es química y si es tipo como 
que plantea un cambio y todo tipo a favor de la naturaleza yo creo como lo entiendo más así como que te 
interroga, tipo te dice y si cambias esto a esto? 
 
 
Speaker 5 - 01:24:21
 
Meeting Title: Q2_Rosacea 
ARG_0504_17h00_1824años_C1C2_otrasmarca...
Meeting created at: 18th Mar, 2026 - 10:02 PM
51 / 75
 
 
 ¿Sí, pero para mí no está claro en qué tenés que cambiar porque yo no me voy a dejar para mañana en todo caso y 
si, no sé, le falta una vuelta para mí como y si no dejas? ¿No sé, claramente no me dedico a esto así que no sé, 
pero como si no dejas este acto para mañana o lo podés dejar como más general y si no dejas para mañana lo 
que podés hacer hoy? ¿Está bien, es re trillada, pero si no así siento como que no sé, está incompleta y me parece 
fuerte también como ay, como si no te dejas para mañana? Me parece también medio, no agresivo pero como que 
no tiene nada que ver con una crema de",1196,208,208,93,0.4471,99,0.476,0.3317,mixed,False,False,True,False,True,False,False,False,False,False,False,2,False,True,False,True,True,True,4,crítico
doc_047d9aa2d7261b26,doc_047d9aa2d7261b26_ch_0059,59,pt,"4h00.mp3 Meeting created at: 16th Mar, 2026 - 4:38 PM
65 / 156
 Piorou. 
 
 
 
 
 
Speaker 5 - 54:58
 
 Piorou. 
 
 
 
 
Speaker 1 - 54:59
 
 Piorou. 
 
 
 
 
 
Speaker 2 - 54:59
 
 Piorou. 
 
 
 
 
Speaker 1 - 54:59
 
 Piorou. 
 
 
 
 
Speaker 7 - 55:00
 
 Piorou. 
 
 
 
 
Speaker 1 - 55:00
 
 Piorou. Piorou. Piorou. Piorou. Piorou. Piorou. 
 
 
 
 
Speaker 7 - 55:00
 
 Piorou. Piorou. 
 
 
Speaker 4 - 55:02
Meeting Title: DG3_Mercato_211123_14h00.mp3 Meeting created at: 16th Mar, 2026 - 4:38 PM
66 / 156
 
 
 
 Piorou. 
 
 
 
 
Speaker 1 - 55:04
 
 Piorou. Piorou. 
 
 
 
 
 
Speaker 5 - 55:05
 
 Piorou. 
 
 
 
 
Speaker 1 - 55:06
 
 Piorou. 
 
 
 
 
 
Speaker 5 - 55:06
 
 Piorou. 
 
 
 
 
Speaker 1 - 55:06
 
 Piorou. 
 
 
 
 
 
Speaker 6 - 55:07
 
 Piorou. 
 
 
Meeting Title: DG3_Mercato_211123_14h00.mp3 Meeting created at: 16th Mar, 2026 - 4:38 PM
67 / 156
 
Speaker 7 - 55:07
 
 Piorou. 
 
 
 
 
Speaker 1 - 55:07
 
 Piorou. 
 
 
 
 
 
Speaker 2 - 55:08
 
 Piorou. 
 
 
 
 
Speaker 1 - 55:10
 
 Piorou. 
 
 
 
 
 
Speaker 3 - 55:10
 
 Piorou. Piorou. 
 
 
 
 
Speaker 7 - 55:18
 
 Piorou. 
 
 
 
 
Speaker 1 - 55:18
 
 Pior O que aconteceu com o negócio de vocês a partir da fusão?",1196,89,89,22,0.2472,8,0.0899,0.1798,mixed,True,False,True,False,True,False,False,False,False,False,False,3,False,False,True,False,True,True,3,crítico
doc_0dc2e6ecde931dc0,doc_0dc2e6ecde931dc0_ch_0117,117,pt,"ing Title: DG6_Mercato_221123_14h00.mp3 Meeting created at: 16th Mar, 2026 - 4:45 PM
117 / 145
 
 
 
Speaker 5 - 01:44:33
 
 Na época errada. Tem que enxergar. Tem que enxergar. 
 
 
 
 
Speaker 1 - 01:44:37
 
 Tem que enxergar. Tem que enxergar. 
 
 
 
 
 
Speaker 3 - 01:44:39
 
 Tem que enxergar. Tem que enxergar. 
 
 
 
 
Speaker 5 - 01:44:41
 
 Tem que enxergar. Tem que enxergar. 
 
 
 
 
 
Speaker 3 - 01:44:42
 
 Tem que enxergar. 
 
 
 
 
Speaker 1 - 01:44:42
 
 Tem que enxergar. 
 
 
 
 
 
Speaker 3 - 01:44:43
 
 Tem que enxergar. 
 
 
Speaker 1 - 01:44:43
Meeting Title: DG6_Mercato_221123_14h00.mp3 Meeting created at: 16th Mar, 2026 - 4:45 PM
118 / 145
 
 Tem que enxergar. 
 
 
 
 
 
Speaker 3 - 01:44:43
 
 Tem que enxergar. Tem que enxergar. Tem que enxergar. Tem que enxergar. 
 
 
 
 
 
Speaker 4 - 01:44:48
 
 Tem que enxergar. 
 
 
 
 
 
Speaker 3 - 01:44:50
 
 Tem que enxergar. Tem que enxergar. 
 
 
 
 
 
Speaker 6 - 01:44:54
 
 Tem que enxergar. 
 
 
 
 
 
Speaker 3 - 01:44:54
 
 Tem que enxergar. 
 
 
 
 
 
Speaker 2 - 01:44:54
 
 Enxergar. 
 
Meeting Title: DG6_Mercato_221123_14h00.mp3 Meeting created at: 16th Mar, 2026 - 4:45 PM
119 / 145
 
 
 
 
Speaker 3 -",1193,115,115,18,0.1565,25,0.2174,0.1391,mixed,True,False,True,False,True,False,False,False,False,False,False,3,False,False,True,False,True,True,3,crítico
doc_5e9eef5d22c00bcf,doc_5e9eef5d22c00bcf_ch_0099,99,pt,"á antes? 
 
 
 
 
 
Speaker 6 - 01:34:57
 
 Ela foi lá antes? Ela foi lá antes? 
 
 
 
 
Speaker 1 - 01:35:01
 
 Ela foi lá antes? 
 
 
 
 
Speaker 7 - 01:35:03
 
 Ela foi lá antes? 
 
 
 
 
Speaker 1 - 01:35:05
 
 Ela foi lá antes? Ela foi lá antes? 
 
 
 
 
 
Speaker 6 - 01:35:06
 
 Ela foi lá antes? 
 
 
 
 
Speaker 1 - 01:35:07
 
 Ela foi lá antes? 
 
 
Speaker 7 - 01:35:07
Meeting Title: DG7_Mercato_231123_09h00.mp3 Meeting created at: 16th Mar, 2026 - 4:49 PM
111 / 133
 
 Ela foi lá antes? 
 
 
 
 
 
Speaker 2 - 01:35:12
 
 Ela foi lá antes? 
 
 
 
 
Speaker 1 - 01:35:15
 
 Ela foi lá antes? 
 
 
 
 
 
Speaker 6 - 01:35:16
 
 Ela foi lá antes? Falta Ela foi lá antes? 
 
 
 
 
Speaker 7 - 01:35:17
 
 Ela foi lá Ela foi lá antes? 
 
 
 
 
Speaker 1 - 01:35:17
 
 De Ela produto é mais na [ENDERECO]. Logística de entrega está maior. 
 
 
 
 
 
Speaker 4 - 01:35:22
 
 Agora a gente não sabe explicar para o consultor o porquê do atraso da entrega. 
 
 
 
 
Speaker 7 - 01:35:32
 
 O sistema é o mesmo que estava fechado. 
 
Meeting Title: DG7_Mercato_231123_09h00.mp3 Meeting created at: 16th Mar, 2026 - 4:49 PM
112 / 133
 
 
 
 
Speaker 1 - 01:35:35
 
 Porque uma atrasa a outra.",1195,130,130,44,0.3385,74,0.5692,0.2308,mixed,True,False,True,False,True,False,False,False,False,False,False,3,False,False,False,True,True,True,3,crítico
doc_a57807230362f233,doc_a57807230362f233_ch_0049,49,es,"- 01:01:50
 
 Pues suena mucho innovadoras y de tecnología, ¿No? Y con experiencia, ¿No? 
 
 
 
 
 
Speaker 4 - 01:01:57
 
 Bueno, al menos como con creatividad, ¿No? Avances, 
 
 
 
 
Speaker 1 - 01:02:03
 
 Creatividad, 
 
 
 
 
Speaker 5 - 01:02:07
 
Meeting Title: DG1_Jack Pearson_3010_20h00.m4a Meeting created at: 12th Mar, 2026 - 1:15 PM
36 / 64
 
 Hecho por expertos. Tecnológico, innovador, aunque no tiene. Aunque no diga innovación, pero sí tiene que ver 
con la innovación. 
 
 
 
 
Speaker 1 - 01:02:18
 
 Implícito, como que te entiendo que va . ¿Cuál de todos ustedes sienten, porque ustedes han hablado mucho de 
un término y es como la eficiencia, que sea corto, fácil, pero también hablan que se sienta masculino, que se 
sienta fuerte, que se sienta como de alguna manera con jerarquía, qué palabritas o qué terminaciones o qué 
inicios trabajan en eso? Como en eso que ustedes buscan como que se vea fuerte, que se vea masculino. 
 
 
 
 
 
Speaker 5 - 01:02:55
 
 Yo no lo busco, pero quizá podría funcionar el. 
 
 
 
 
 
Speaker 4 - 01:03:00
 
 Sí justo porque el men es el que hace que sea para hombres, ¿No? Es la gran diferencia. 
 
 
 
 
Speaker 1 - 01:03:07
 
 ¿Y de lo",1198,158,158,89,0.5633,72,0.4557,0.2595,mixed,True,False,True,False,True,False,False,False,False,False,False,3,False,False,False,True,True,True,3,crítico
doc_a57807230362f233,doc_a57807230362f233_ch_0073,73,es,"¿Yo sí estoy de acuerdo con él. 
 
 
 
 
Speaker 1 - 01:32:53
 
 Qué pasó por ejemplo con bioeficiente, esa tecnología con qué tipo de beneficio de propuestas? ¿Las que están 
leyendo acá sienten que? 
 
 
Meeting Title: DG1_Jack Pearson_3010_20h00.m4a Meeting created at: 12th Mar, 2026 - 1:15 PM
56 / 64
 
 
 
 
Speaker 3 - 01:33:10
 
 ¿Con la f y la b, o sea la b verdadera, no la d, o sea porque por ejemplo el x pues termina siendo como eficiente 
porque no debes de comprar dos shampoos o dos productos o algo así entonces sí como que sí, sí pega el 
eficiente honestamente no? 
 
 
 
 
Speaker 1 - 01:33:31
 
 Sí es que, o sea, no sé, como que la tecnología, o sea pensando en como palabras tecnología frente a eficiente, 
tecnología resulta un poco más que la tecnología experto frente a eficiente resultan más. 
 
 
 
 
 
Speaker 3 - 01:33:49
 
 Que pues más llamativo que por ejemplo solucione los que sí solucione los problemas, o sea por ejemplo a veces 
no es tanto de quisiera un producto que sea 22 en 1 por la eficiencia si de todas formas no me va a servir en 20 de 
las cosas que dice. 
 
 
 
 
Speaker 1 - 01:34:13
 
 Bien, ¿Qué dice el resto con bioeficiente en dónde hay",1191,171,171,85,0.4971,83,0.4854,0.2749,mixed,True,False,True,False,True,False,False,False,False,False,False,3,False,False,False,True,True,True,3,crítico
doc_948ae088c8e6f14c,doc_948ae088c8e6f14c_ch_0049,49,es,"3 - 59:36
Meeting Title: DG4_Jack Pearson_3110_22h00.m4a Meeting created at: 12th Mar, 2026 - 1:15 PM
36 / 50
 
 
 
 Yo no sé si puedo decir sobre la 1 Sí, OK, bueno, mira a mí Biomas como que veo una imagen, tiene como un 
hombre, una mujer, veo más, menos, entonces como que me da esa sensación de equilibrio, pero está saliendo un 
humo de su boca que está flotando, entonces como que me da este plus, ese adicional, por eso fue que decidí, es 
como el equilibrio y literal tiene el signo de más, entonces como que me hace match con toda mi. 
 
 
 
 
Speaker 1 - 01:00:11
 
 OK, bien, ¿Quién más? 
 
 
 
 
 
Speaker 4 - 01:00:16
 
 Yo escogí la 3 por el tiempo de que el más quiere decir que algo está en proceso, bueno así yo lo entiendo, 
entonces el reloj del tiempo quiere decir que se está trabajando o se está desarrollando algo. 
 
 
 
 
Speaker 1 - 01:00:39
 
 Bien, súper. ¿Cuál escogerían para bioeficiente? ¿La 2? ¿La 2? 
 
 
 
 
 
Speaker 3 - 01:00:56
 
 ¿Yo escogería la 10 yo me quedo. 
 
 
 
 
Speaker 1 - 01:01:00
 
 Con la 10 te sigues quedando con la 10? ¿OK? ¿Para bioeficiente cuál escogerían? 
 
 
 
 
 
Speaker 2 - 01:01:12
 
 Yo las 5. 
 
 
Meeting Title: DG4_Jack",1190,171,171,91,0.5322,78,0.4561,0.2982,mixed,True,False,True,False,True,False,False,False,False,False,False,3,False,False,False,True,True,True,3,crítico
doc_e5652afcdfc168fe,doc_e5652afcdfc168fe_ch_0058,58,es,"ue esa es la base y todo lo. ¿Después viene todo lo demás, 
viene después. 
 
 
 
 
 
Speaker 2 - 01:00:06
 
 Y sienten que desde se conecta en algún sentido de alguna manera con las publicidades que vimos o no? 
 
 
 
 
 
Speaker 6 - 01:00:13
 
 Sí, porque en ambas como que remarcan el cuidado personal. 
 
 
 
 
 
Speaker 8 - 01:00:21
 
 OK. 
 
 
Speaker 5 - 01:00:23
 
Meeting Title: Q1_Rosacea 
ARG_0404_14h301824años_C1C2_Natura.mp4
Meeting created at: 18th Mar, 2026 - 10:03 PM
48 / 100
 
 
 En esta publicidad está más remarcado el bienestar hace bien, mientras que en la otra tal vez era más remarcado 
el bienestar. 
 
 
 
 
 
Speaker 2 - 01:00:31
 
 Bien, a ver, ¿Por qué sentís en eso de remarcado? Decís como que tenía más que ver con el mensaje o que se veía 
mejor en la. 
 
 
 
 
 
Speaker 4 - 01:00:45
 
 Perdón, 
 
 
 
 
 
Speaker 5 - 01:00:49
 
 No quería decir que se veía como más remarcado en la publicidad que era como sobre eso, era sobre la primera 
era más que nada sobre las líneas de expresión y las cremas anti age y todo lo que se puede hacer como para 
disminuir o reducirlas. Entonces eso como que siento que no solamente es un tema de yo quiero verme bien, sino 
que",1199,172,172,94,0.5465,79,0.4593,0.2384,mixed,True,False,True,False,True,False,False,False,False,False,False,3,False,False,False,True,True,True,3,crítico
