doc_id_join,n_chunks,chars_chunks,words_chunks,chars_full,words_full,_merge,word_coverage_chunks_vs_full,char_coverage_chunks_vs_full
doc_012fe174842b390e,29,33831,4291,29718,3761,both,1.1409199680935922,1.1384009691096306
doc_02c37e00145d9a32,64,75628,10565,66331,9235,both,1.1440173253925283,1.1401607091706742
doc_047d9aa2d7261b26,127,150875,18830,132298,16436,both,1.145655877342419,1.140417844563032
doc_0a02c0b1be74620a,32,37661,5568,33060,4894,both,1.1377196567225174,1.1391712038717483
doc_0dc2e6ecde931dc0,140,167199,21613,146718,18903,both,1.1433634872771519,1.13959432380485
doc_0e16de972b72d565,55,64829,8931,56859,7816,both,1.1426560900716478,1.1401713009374066
doc_0f20528122df94e9,54,64425,9108,56600,7986,both,1.140495867768595,1.1382508833922262
doc_1029b8f4fef9beca,106,126419,16454,110969,14432,both,1.1401053215077606,1.1392280727049897
doc_1055808810073bc2,31,36752,4996,32325,4373,both,1.1424651269151611,1.136952822892498
doc_11e122f8db3f0253,15,17225,2479,15171,2214,both,1.1196928635953025,1.1353898886032563
doc_124f0c4d1195ab02,48,56632,7823,49681,6823,both,1.1465630954125752,1.139912642660172
doc_12c6ce2d2fba4df1,82,97437,13820,85444,12104,both,1.14177131526768,1.140360938158326
doc_1434a07027866aa7,32,37532,5221,32951,4567,both,1.1432012261878695,1.1390246123031167
doc_14deab54cdbd6aa1,44,51726,7290,45385,6367,both,1.1449662321344432,1.1397157651206347
doc_1cecf4bbb8f06cf1,74,87692,10961,76915,9604,both,1.1412952936276552,1.1401157121497758
doc_1d7aeba5c3deb241,76,89873,12514,78768,10966,both,1.1411635965712201,1.1409836481820028
doc_1e5ee5a39b2288b7,26,30906,4201,27200,3708,both,1.1329557713052858,1.13625
doc_20c080a645217030,130,154275,20687,135266,18121,both,1.1416036642569394,1.14053051025387
doc_25b8560e3c990709,109,129986,18953,114020,16618,both,1.140510290046937,1.1400280652517103
doc_27d3eb4bf6306e35,25,29855,4561,26286,3999,both,1.140535133783446,1.135775698090238
doc_295321b3ea85e862,105,124657,13984,109441,12214,both,1.144915670542001,1.139033817307956
doc_2da4b14181ace08e,105,124927,16500,109544,14454,both,1.1415525114155252,1.140427590739794
doc_2e794b5b52308c61,82,96986,12611,85068,11024,both,1.1439586357039186,1.140099684957916
doc_2ea20bb0263aff60,109,130059,16128,114140,14084,both,1.1451292246520874,1.1394690730681618
