termo,mean_tfidf
gente,0.03835774687232096
tem,0.03733969037403322
mais,0.036663391775768835
pra,0.030504443743082293
muito,0.02753730243330632
assim,0.02747178075270678
natura,0.026118526227659183
vai,0.025395634527980663
acho,0.02493102444337631
tambem,0.024268503015744767
aqui,0.021980068514212116
esta,0.021486746620439326
essa,0.020726685735512552
coisa,0.020272274316258398
bem,0.018542729888809954
produto,0.01852006815832333
esse,0.01799919508316237
bom,0.016778173889236744
dia,0.016671528321120715
vou,0.016505448279538835
mar speaker,0.01623729856979193
speaker meeting,0.016098010436285465
pele,0.015405399283813211
mesmo,0.014257011218763332
tudo,0.014245707841035675
speaker speaker,0.014001947809072133
anos,0.013861036025660295
agora,0.01384447736220666
todo,0.013780073940534234
ver,0.013653346265836482
algo,0.013364367955987331
tipo,0.013339542217192779
sei,0.013177653823599129
marca,0.012888554293085133
falou,0.012877026907563585
sabe,0.01281398637192012
produtos,0.012570170721803567
alguma,0.012536855863035882
vamos,0.012053527549200341
ali,0.011773047775606353
vezes,0.011763777778407116
mim,0.011741799022776276
pode,0.011712936387815488
fazer,0.011397433457726711
falar,0.011292277593386987
bien,0.01108825097217202
fala,0.011069149918323069
presente,0.011004968225384174
sea,0.010976317516935306
sempre,0.010868340186594801
parece,0.010796067053669044
pessoa,0.01079158363974914
embalagem,0.010347555672921222
rosacea,0.01031876976877763
boticario,0.010298696067666657
title rosacea,0.010131636422555424
faz,0.010038922632932091
comprar,0.009944012185230899
pouco,0.009872273299348415
legal,0.009830361133607114
loja,0.009765792598805504
nome,0.009623243746840806
speaker acho,0.0096172596440693
gosto,0.009230935041659798
exemplo,0.009188210126376127
perfume,0.009067399435611212
les,0.008896849920692401
questao,0.008815999481831068
tempo,0.008812445040139658
consultora,0.008798490531200623
pessoas,0.008781084157866688
sou,0.008662943634929426
fica,0.008652570347732248
vem,0.008608358167343995
linha,0.008482869803121103
hoje,0.008469097697602611
dela,0.008435788651464786
quer,0.008317954603039331
alguma coisa,0.008310263842682089
nada,0.008307313580226433
coisas,0.008307061437552618
bueno,0.008214841952679769
pelo,0.007974163084234548
pra mim,0.007956459614241013
outra,0.007921352614949558
anima,0.007915737994009587
speaker tem,0.007891066604600558
anima meeting,0.007870680195722268
title anima,0.007847318550699136
compra,0.0077128015554270395
propaganda,0.0077039237665182956
muy,0.007604303456972353
falando,0.007505048786925085
menos,0.00750456233980054
entendi,0.0074816275015810825
ainda,0.00745548189387684
atencao,0.007445084840141925
dar,0.007420926192151086
diferente,0.007369378692054375
todos,0.007359566245156936
gaia,0.0073565026189281015
seria,0.00732094520383793
title gaia,0.00730272379230077
gaia meeting,0.007277918059656522
bastante,0.007264229508791956
todas,0.007240958912143111
parte,0.007217081124201795
achei,0.007195439939900076
natural,0.007180164367276731
mercato,0.007134618835494213
forma,0.007083991242044756
title mercato,0.007065394959729405
estao,0.006983992605959368
idade,0.006933072816692219
producto,0.006910673447190751
outro,0.006891738432677537
essas,0.00688022719291055
quero,0.006870773499007618
conta,0.006840324974115698
usar,0.006820919526584212
tanto,0.006744117050434485
meio,0.0067059431928279825
olha,0.006687224253081525
revista,0.006632876420660197
tecnologia,0.006619020454306909
speaker gente,0.006597278034857657
casa,0.006519838106151756
ficar,0.006517128523495525
aquele,0.006450363309971178
passa,0.006407134410005945
hidratante,0.006398637375544927
falei,0.006381956759433914
muito bom,0.006380021343157941
cuidado,0.006379116250566166
uso,0.0063104710631532316
realmente,0.006304107821648437
gente vai,0.0062466230022698585
perfecto,0.006236283391201941
marcas,0.006228363130299825
duas,0.006161706464809295
melhor,0.006128291300012793
queria,0.006112087457089502
dois,0.006073915939179441
dizer,0.006073294322124332
acha,0.0060612770982019625
todo dia,0.006039889528546017
asi,0.006029834954066629
outras,0.006021004914230593
tambem speaker,0.006008968007727952
aquela,0.005974212936298033
dessa,0.005969484769661121
gente tem,0.005960584080596994
speaker bom,0.005956555635927556
vendo,0.005936866214503939
momento,0.005858728322238941
pela,0.005850379759024986
tal,0.005835337078601465
igual,0.005834881198251496
claro,0.005831651302532312
este,0.005829749161710842
pouquinho,0.005814884313167148
tiene,0.005804318228389089
tres,0.005786547698186219
obrigada,0.005777430758849801
mercato meeting,0.005765038281980686
deixa,0.005746554007359044
mae,0.005740786316178359
muita,0.00572910244512813
dentro,0.005710783472549531
ideia,0.0056979496860327
super,0.0056978931788607915
entendeu,0.005697802348080703
