doc_id,speaker_id,role_inferido,n_turns,n_words,question_rate,word_share
doc_012fe174842b390e,1,interviewer_heuristic,23,385,0.7391304347826086,0.10597302504816955
doc_012fe174842b390e,2,interviewer_heuristic,93,1845,0.5053763440860215,0.5078447563996696
doc_012fe174842b390e,3,interviewer_heuristic,9,214,0.6666666666666666,0.05890448665015139
doc_012fe174842b390e,4,interviewer_heuristic,24,263,0.7083333333333334,0.07239196256537297
doc_012fe174842b390e,5,interviewer_heuristic,63,926,0.6666666666666666,0.25488576933663637
doc_02c37e00145d9a32,1,participant_or_unknown,3,313,1.0,0.033981109542937794
doc_02c37e00145d9a32,2,interviewer_heuristic,159,3168,0.9308176100628931,0.3439365975464119
doc_02c37e00145d9a32,3,interviewer_heuristic,157,5730,0.5414012738853503,0.6220822929106503
doc_047d9aa2d7261b26,1,interviewer_heuristic,274,4157,0.5912408759124088,0.2700929114417517
doc_047d9aa2d7261b26,2,interviewer_heuristic,220,4027,0.4636363636363636,0.26164641673705413
doc_047d9aa2d7261b26,3,interviewer_heuristic,124,1833,0.45161290322580644,0.11909557533623547
doc_047d9aa2d7261b26,4,participant_or_unknown,69,949,0.4492753623188406,0.06165941134429212
doc_047d9aa2d7261b26,5,participant_or_unknown,114,1506,0.43859649122807015,0.09784939250211162
doc_047d9aa2d7261b26,6,interviewer_heuristic,121,2048,0.45454545454545453,0.13306477811708142
doc_047d9aa2d7261b26,7,participant_or_unknown,58,871,0.3275862068965517,0.05659151452147359
doc_0a02c0b1be74620a,1,interviewer_heuristic,56,2193,0.8571428571428571,0.44329896907216493
doc_0a02c0b1be74620a,2,interviewer_heuristic,13,236,0.7692307692307693,0.04770568021022842
doc_0a02c0b1be74620a,3,interviewer_heuristic,46,2518,0.717391304347826,0.5089953507176066
doc_0dc2e6ecde931dc0,1,interviewer_heuristic,188,2835,0.5904255319148937,0.1512
doc_0dc2e6ecde931dc0,2,interviewer_heuristic,169,4629,0.5384615384615384,0.24688
doc_0dc2e6ecde931dc0,3,interviewer_heuristic,185,4218,0.4918918918918919,0.22496
doc_0dc2e6ecde931dc0,4,interviewer_heuristic,98,1911,0.47959183673469385,0.10192
doc_0dc2e6ecde931dc0,5,participant_or_unknown,163,3005,0.4049079754601227,0.16026666666666667
doc_0dc2e6ecde931dc0,6,participant_or_unknown,119,2152,0.42016806722689076,0.11477333333333334
doc_0e16de972b72d565,1,interviewer_heuristic,150,2810,0.8866666666666667,0.36436721991701243
doc_0e16de972b72d565,2,participant_or_unknown,3,312,1.0,0.04045643153526971
