doc_id,chunk_id,chunk_index,n_words,n_topic_tokens,idioma_detectado,score_pt,score_es,score_en,quality_reasons_str,text_for_embedding
doc_047d9aa2d7261b26,doc_047d9aa2d7261b26_pp_ch_0065,65,75,20,pt,0.66154,0.16923,0.03077,few_topic_tokens,"153 / 156 Eu junto agora, já que eu tinto essas, mas aí eu já mejo as outras lá. Mas se ele incidir, o que vai acontecer? Mas eu baixo. Mas aí não vai sacar. Eu baixo ainda, mas aí eu baixo. É assim. 154 / 156 Eu vou mandar servir depois. Pode ter, né? Pode ter, né? Pode ter. Obrigada. Obrigada pra você. Nós. 155 / 156 Estamos dispensados, senhor? Não, pessoal. Transcribed by [URL] 156 / 156"
doc_0dc2e6ecde931dc0,doc_0dc2e6ecde931dc0_pp_ch_0078,78,62,22,pt,0.48936,0.2766,0.04255,few_topic_tokens,"Vamos antes da chuva, então. 144 / 145 Obrigada. E de verdade espero que a nossa... A nossa... Eu espero de verdade que a gente sentiu a vida na hora e que de verdade essas pequenas... Sirva pra melhorar a mudança de fevereiro, que vem a ser melhor do que a gente tem. O que será que é? Transcribed by [URL] 145 / 145"
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0001,1,240,118,es,0.25792,0.45249,0.04525,language_not_allowed,"Entonces les va a figurar que vamos a grabar la sesión. De todas maneras es confidencial, la vamos a grabar para no olvidarnos nada de lo que charlemos hoy. Y yo ahora las dejo charlando con. Tere, cualquier cosa igual me quedo conectada, Así que cualquier cosita me avisan. Muchas gracias. A vos. Gracias. ¿Qué tal chicas? ¿Cómo andan? 1 / 124 Hola, ¿Qué tal? ¿Qué tal? ¿Todas conectadas? Bueno, bárbaro. Les agradezco muchísimo, muchísimo que estén. Así que vamos a ver un montón de cosas, no se van a aburrir porque tengo tanto para mostrarles y preguntarles que vamos a avanzar y de repente vamos a terminar la reunión sin darnos cuenta y así que lo que les pido por supuesto es que todas me parece lo que sientan con total libertad, yo tengo todos los datos de ustedes, pero solo así como una mini ronda inicial hacemos, cada una me cuenta a qué se dedica. Solo esto. A qué se dedica y con quién vive en este momento. ¿Quién quiere empezar? Yamila, vos ya tenés que poner el micrófono abierto porque quedamos con el micrófono abierto todas. Yo estoy desde la PC que tiene el micrófono y la cámara desde el celular porque no me deja ver. Ya que empecé, ¿Puedo presentarme? Bueno, mi nombre es Yamila, tengo 32 años, vivo en Quilmes, soy arquitecta. Bueno, en mi tiempo libre me gusta correr. ¿Con quién vivís? Porque no tenemos."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0002,2,245,114,es,0.18692,0.44393,0.02804,language_not_allowed,"Me encantaría pero no tenemos tiempo para hacer mucha. 2 / 124 Vivo con mi pareja y tengo un hijito de dos años. Me encanta. Bueno, ¿Quién sigue? Bueno, sigo. Dale, Sole, dale. Mi nombre es soledad, tengo 30, me dedico a la docencia y la psicopedagogía y vivo con mi marido y el nene. Perfecto, buenísimo. Bueno, me presento, yo soy Pamela, soy trabajadora social y vivo con mi marido. Genial. Ya. Mi nombre es Yasmila y vivo sola y trabajo, soy empleada administrativa. 3 / 124 Perfecto. ¿Quién? ¿Coqueda? Yo quedo. Bueno, yo me llamo Karina, tengo 37 años, vivo en Caballito, soy traductora y vivo con mi pareja y mis dos perros. OK, bárbaro, o sea que la otra. Yamila, ¿Sos vos? Yamila, ¿Que ya te presentás? Perfecto, buenísimo. Bueno, les cuento que lo que vamos a ver hoy vamos a hablar sobre publicidad y sobre todo vamos a hablar como de las ideas publicitarias, ¿Vieron como el concepto publicitario lo que veo como una cosa así un poco más global y conceptual acerca de las ideas? Y lo que vamos a hacer es, primero yo voy a compartir la pantalla, les voy a mostrar una idea, la vamos a ver dos veces y después ustedes tienen una hojita como anotar las primeras impresiones, pero es así como anotar palabras nada más, porque después lo vamos a charlar todo, o sea que es una formalidad. Entonces ahora esperen que voy a compartir la pantalla."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0003,3,252,124,es,0.25214,0.47009,0.02564,language_not_allowed,"Compartamos el sonido y ahora acá. Vamos a viajar. Empezamos por esta. Y si fueras más amiga del tiempo, reducí arrugas y líneas de expresión en dos semanas con el Super Serum de Natura Kronos. La vemos de nuevo. 4 / 124 Y si fueras más amiga del tiempo, reducí arrugas y líneas de expresión en dos semanas con el Super Serum de Natura Kronos. OK, bien, vamos a dejar de compartir, quiero que me cuenten, escriban primeras impresiones, palabras así de primeras impresiones que les transmitió esta publicidad. No me cuentes, después lo charlamos. Es que lo escribas . Son cuatro preguntas. La primera es, ahora vamos, ¿Cuál es el mensaje principal que les dejo? Una frase en donde ustedes resuman mensaje principal recibido o que les transmitió esta idea. La tercera pregunta es ¿De quién era esta publicidad? ¿Como marca y producto de qué era, de quién era? Solo anotar marca y producto, lo que recuerden y tres palabras para describir, definir tres palabras, las que les surjan. Bueno, listo, Ya está María. Bien, total, ahora lo vamos a charlar, así que todos nos vamos a explayar sin problemas. En principio, ahora sí, charlando, ¿Cuáles son las? ¿Las sensaciones, las impresiones que les dejó? Fluidez. A mí por ejemplo, la fluidez, la crema o el serum es algo muy fluido, esa impresión me da esa sensación de suavidad, de fluidez. Perfecto. ¿A mí me dio impresión también de suavidad cuando muestran las gotitas, me dio la sensación de suavidad, de juventud también."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0004,4,253,112,es,0.37719,0.5,0.0614,language_not_allowed,"A través de esas gotitas, o la juventud a través de otra cosa? 5 / 124 No, la juventud primero por las mujeres, a través del que muestran a las mujeres reales y después el tema de las gotitas, eso me pareció como que era suave, no sé. Perfecto, perfecto, bien. Dale María Emilia, metete vos. ¿A mí me tienta probarlo, o sea, me parece atractiva la imagen, lo más. Atractivo de la imagen para vos qué imagen es atractiva? Verano, No sé, me da frescura. Frescura, perfecto. 6 / 124 A mí me da, no sé, como laboratorio técnico las gotitas como que mostraban el platito redondo me da algo técnico, estudiado digamos, como, no sé, como científico de alguna forma quizás como puedo llegar a pensar sigo pensando, como que me da una seguridad el producto de alguna forma porque como que está investigado. Me da como a rapidez también eso que hablaba de. De que te pones la crema en dos semanas y se van las arrugas inmediato, rápido. A mí me transmitió algo así del paso del tiempo o detenerlo o acelerarlo, algo así como raro las transiciones muy rápidas. A partir de qué esas transiciones rápidas. Y que te mostraba el laboratorio, después las manos, la forma en la que se ponían las cremas y tun. Tun, muchas imágenes, esa transición. Algo te quería decir, o si es que paras el tiempo, algo así medio raro. 7 / 124 ¿Te acuerdas si hablaba algo del tiempo ya que lo está trayendo?"
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0005,5,244,96,es,0.37719,0.59649,0.04386,language_not_allowed,"Sí, en realidad hablaba de dos semanas, no, decía que en dos semanas la reducción de arrugas en dos semanas y algo más. A mí me parece que respecto a la frase que nos pediste, Tere, era algo de amigarse con el paso del tiempo. A mí me dio como. Lo que me quedó de la frase es el resumen ese amigarse con el paso del tiempo en el cuerpo. Cuándo habla de eso, ¿Se acuerdan las demás? Lo que está diciendo Sole de amigarse. Con el paso al principio es como que hace la pregunta y si te amigas con el paso del tiempo, o sea a partir de como que empieza la publicidad. Claro, es que amigarse también, perdón, amigarse es porque estás mal, digamos, ¿No? Entonces como que el paso del tiempo te produce arrugas y como que eso estaría mal, no sé, el mensaje es medio como que no hay que. 8 / 124 Tener rugas, como que hay que estar. Joven, la juventud o como mantener la juventud, qué sé yo. La piel tersa de alguna forma, no se, está tan buena. Esperá un poquito. Todas Sí, no, me parece que eso que vos interpretas, digo, todas se acuerdan de esa pregunta, el de amigar y si te amigas con el paso del tiempo, por decirlo de la manera que lo dicen ustedes y qué les transmitió la idea que le daba a Pamela o una idea diferente o cuál."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0006,6,246,110,es,0.30493,0.4843,0.0583,language_not_allowed,"Me parece como esto de amigarse con el paso del tiempo tampoco dejar de cuidarnos, me parece como que no lo interpreto así, pero como que amiguémonos con el paso del tiempo pero cuidémonos al mismo tiempo, como que tampoco nos dejemos testar, digamos. ¿Sí, yo lo asocio como dice María Emilia, como algo no me resultó chocante como dale, tenés que hacer esto, no? Si no más tipo cuídate, tenés una opción para cuidarte, para ver la piel linda, también sana. OK. 9 / 124 Fue sugestivo de una buena manera y aparte te da a entender como que te va a dar una luminosidad en la piel y como que el serum te va a rejuvenecer los años que no estás tratando de cuidar tu piel. No fue negativo, al contrario. A mí me dieron ganas y mi. Mamá fanática de los serums y yo la miro a veces y digo ¿Por qué tantas cremas? Y o sea, yo que soy una persona que usa de vez en cuando cremas y las voy intercalando, me dieron ganas de comprar un serum, así que. Claro, por ejemplo probar a ver qué pasa con este serum. Sí dije wow, dos semanas me parece increíble. Aparte vos ves las líneas de expresión y de pronto en dos semanas las empieza a corregir, decís bueno, o sea algo tiene, o sea, a mí ya me dieron ganas de comprarlo y yo soy bastante reacia a comprar cosas en general."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0007,7,286,132,es,0.29779,0.51103,0.02941,language_not_allowed,"Y para terminar el tema que empieza con esta pregunta, ¿Qué les parece que empiece con una pregunta que diga en este caso exactamente decía y si fueras más amigas del tiempo digamos, ¿Qué les parece como inicio de una idea? 10 / 124 Está buena, original, quizás está bueno porque. Sin venderte directamente el envase con un precio, eso sería muy básico. Claro, claro. Sí, sí, sí las demás están de acuerdo. Yo creo que sí es porque introduce digamos, al tema, entonces abre la pregunta y después te introduce como el producto. Sí, como un disparador. Como un rompehielo. Exactamente. Genial. Si ustedes me tuvieran que contar a mí como si yo no la hubiera visto, entonces qué entendieron cuál es el mensaje que quiere dos semanas. 11 / 124 Y no tener miedo al paso del tiempo, que hay un producto que te puede ayudar a verte mejor. Claro, claro que tenés opciones. Claro. No, no sé si evitar el paso del tiempo porque no se evita, pero como ayudar a contrarrestar de alguna forma el paso del tiempo. Se trata de este producto, lo que transmite. Sí, ya no que para mí va. Gente más grande todavía que mi edad, por ejemplo, porque empieza con una señora con todo el pelo canoso, las manos están re arrugadas, la gente tiene la piel bien real acá, bien las líneas de expresión, las patas de gallo. Entonces me parece que es como bueno, ya llegaste a esa edad, tenés esas cosas, bueno, llévalo lo mejor posible, con luminosidad, con la piel linda, pero tampoco te vuelvas loca con el botox y estar tipo tirante, como eso que te buscan redes sociales y los filtros de Instagram."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0008,8,256,117,es,0.37449,0.55144,0.0535,language_not_allowed,"Claro, claro. ¿Qué piensan las demás? ¿Se identifican a quién le habla? ¿Cómo lo ven desde ese lado? 12 / 124 Sí, yo creo que también como que trata de mostrar como cierto empoderamiento, digamos, como no le tengas miedo al paso del tiempo, sentite como más fuerte si se quiere, o más sin miedo al paso del tiempo. Yo opino como. Me parece que no es solamente el paso del tiempo, porque en la publicidad también aparece por ejemplo el sol, que el sol te daña la piel, te la hace envejecer más rápido. Entonces para mí le habla a todo el público, no solamente a las mujeres grandes quizás, o más grandes. Sí, no sé qué piensan las demás. Habla por más que aparecen personajes más grandes, se sienten ustedes identificadas. Puede ser una propuesta para también más jóvenes, Para mujeres maduras, ¿No? Para una chica de veinte por ejemplo, como para a partir de los treinta, cuarenta si se quiere, para mayores. A mí me parece acorde la edad, porque hay a veces que se ven publicidades que se ponen un serum, chica que realmente no necesita ni agua prácticamente. Entonces me parece acorde como que está bien que se elija como la madurez en la piel, porque se necesita reflejar eso. ¿Recuerdan alguna publicidad parecida a esta? No. 13 / 124 Sí. Para dejarme pensar cuál es el producto. No me acuerdo. La de. ¿Saben que? Cuando hacemos en Zoom solo lo más prolijas que podamos, porque cuando se superpone no se entiende nada."
