doc_id,n_chunks,n_chunks_modeling,min_words,mean_words,p50_words,max_words,pct_kept
doc_012fe174842b390e,15,15,240,247.66666666666666,245.0,294,1.0
doc_02c37e00145d9a32,38,38,62,245.6315789473684,246.0,320,1.0
doc_047d9aa2d7261b26,65,64,75,242.53846153846155,243.0,279,0.9846153846153847
doc_0a02c0b1be74620a,20,20,76,249.75,249.0,346,1.0
doc_0dc2e6ecde931dc0,78,77,62,244.46153846153845,245.0,279,0.9871794871794872
doc_0e16de972b72d565,32,32,121,244.59375,243.0,328,1.0
doc_0f20528122df94e9,33,33,185,244.72727272727272,244.0,270,1.0
doc_1029b8f4fef9beca,53,0,134,247.58490566037736,246.0,286,0.0
doc_1055808810073bc2,17,17,240,248.23529411764707,245.0,281,1.0
doc_11e122f8db3f0253,9,9,220,242.44444444444446,243.0,251,1.0
doc_124f0c4d1195ab02,28,28,61,242.64285714285714,246.5,275,1.0
doc_12c6ce2d2fba4df1,50,50,240,248.7,245.0,291,1.0
doc_1434a07027866aa7,19,19,85,235.6315789473684,243.0,253,1.0
doc_14deab54cdbd6aa1,25,25,240,250.92,246.0,308,1.0
doc_1cecf4bbb8f06cf1,40,40,141,246.525,246.0,293,1.0
doc_1d7aeba5c3deb241,46,46,131,247.1304347826087,247.0,298,1.0
doc_1e5ee5a39b2288b7,15,15,153,241.93333333333334,245.0,263,1.0
doc_20c080a645217030,74,74,145,250.64864864864865,247.0,306,1.0
doc_25b8560e3c990709,63,0,240,258.1587301587302,251.0,299,0.0
doc_27d3eb4bf6306e35,17,17,133,242.58823529411765,248.0,265,1.0
doc_295321b3ea85e862,45,45,123,241.86666666666667,243.0,257,1.0
doc_2da4b14181ace08e,58,58,179,250.29310344827587,245.5,292,1.0
doc_2e794b5b52308c61,45,45,147,244.11111111111111,244.0,284,1.0
doc_2ea20bb0263aff60,56,56,124,243.625,243.0,284,1.0
doc_2f47184626ff09c1,56,56,131,242.98214285714286,243.0,266,1.0
doc_2fad00e3ce11f4af,37,37,144,241.97297297297297,244.0,258,1.0
doc_2fd5110893661ffc,22,22,159,245.77272727272728,246.5,274,1.0
doc_304cab7668293378,51,0,104,253.92156862745097,248.0,362,0.0
doc_31188a538d1b01b5,32,32,227,255.59375,252.5,292,1.0
doc_31b742a33ba14cee,54,0,209,250.88888888888889,248.5,280,0.0
doc_33640fb8f77ec4a8,42,42,100,245.71428571428572,245.5,318,1.0
doc_33806bf9e4eb621f,14,14,240,251.14285714285714,248.0,293,1.0
doc_35dea0d9c934b094,53,53,240,254.88679245283018,249.0,302,1.0
doc_362e84f5248b2753,1,1,235,235.0,235.0,235,1.0
doc_363006063b67a33f,50,50,167,246.06,245.5,269,1.0
doc_3662c092fa45c669,34,34,240,251.88235294117646,247.5,281,1.0
doc_37e5a363a19d31b7,14,14,155,241.42857142857142,243.0,265,1.0
doc_39321562bc6f4763,61,0,240,259.44262295081967,249.0,381,0.0
doc_399dacb2736f0f29,59,59,103,250.91525423728814,247.0,328,1.0
doc_3a9c3f93806290fb,66,65,75,246.46969696969697,245.0,283,0.9848484848484849
doc_3d71a73387cbd4a7,60,60,76,246.35,246.0,300,1.0
doc_40a5bd913d6434d3,49,48,168,243.91836734693877,243.0,271,0.9795918367346939
doc_44982372dd74c6da,34,34,105,245.1764705882353,245.5,268,1.0
doc_474985d7ea9b5b8b,54,0,240,255.64814814814815,249.0,310,0.0
doc_478cbac543cfa72a,55,55,168,246.8181818181818,245.0,277,1.0
doc_4b2394cc0e9c67f8,35,35,72,254.0,246.0,352,1.0
doc_4b466654cd374bdf,70,70,240,245.82857142857142,243.5,293,1.0
doc_4fb6c79b4c64bba8,73,73,55,245.15068493150685,245.0,285,1.0
doc_500a84cf9936a539,34,34,240,254.64705882352942,248.0,322,1.0
doc_5054173bba881d3a,3,3,180,241.0,241.0,302,1.0
doc_52108ac94ef635f9,31,31,149,245.16129032258064,246.0,302,1.0
doc_52dd07d4014ead58,46,0,129,252.04347826086956,250.0,293,0.0
doc_5382bf57549b07cb,51,0,240,260.05882352941177,253.0,385,0.0
doc_57600d8711fbb9d4,38,38,87,244.60526315789474,243.0,271,1.0
doc_5c06d290f301eadb,18,18,203,249.5,244.5,305,1.0
doc_5e45678d66a9df7e,44,43,240,250.36363636363637,245.0,290,0.9772727272727273
doc_5e6540144b9030fe,22,22,232,249.5909090909091,248.5,272,1.0
doc_5e9eef5d22c00bcf,61,61,150,245.55737704918033,245.0,276,1.0
doc_6446f54127e74c2d,62,61,240,245.43548387096774,244.0,290,0.9838709677419355
doc_66b40b2eb6436092,53,52,208,248.56603773584905,245.0,285,0.9811320754716981
doc_6a7dc800256491db,48,0,240,260.3333333333333,255.5,310,0.0
doc_6da518659b1ee271,64,0,240,253.0625,247.0,311,0.0
doc_6e02133bb486de22,45,44,163,246.95555555555555,246.0,298,0.9777777777777777
doc_7125fa2ef3d8b81c,70,70,76,246.4,245.0,287,1.0
doc_7244ee28c4ae4fdf,72,72,240,247.04166666666666,244.5,273,1.0
doc_732280b483c61985,29,28,158,246.06896551724137,247.0,282,0.9655172413793104
doc_74ca043fafaaea8d,51,51,165,244.15686274509804,243.0,274,1.0
doc_761f127ebf5926ab,23,23,170,251.7826086956522,248.0,299,1.0
doc_76c629289d2e414c,28,27,237,253.46428571428572,246.5,295,0.9642857142857143
doc_7c1dc7dcc6ddc2d7,35,35,213,252.82857142857142,253.0,296,1.0
doc_80a271097010f616,37,36,60,247.59459459459458,246.0,317,0.972972972972973
doc_8117b4510b37b8a5,23,23,225,245.34782608695653,243.0,267,1.0
doc_813751e4679e395b,55,54,240,254.72727272727272,247.0,325,0.9818181818181818
doc_8155ca024e437eda,60,60,166,248.25,246.0,290,1.0
doc_88268e58fe588334,34,34,240,249.0,246.5,286,1.0
doc_89fa2004a39f9cde,18,18,122,243.05555555555554,247.0,279,1.0
doc_8d389e4147701c27,32,0,176,249.875,246.5,313,0.0
doc_8f0f9dbe32c1bce3,67,67,55,248.23880597014926,246.0,304,1.0
doc_90e2fc7494d27bd2,72,72,161,246.25,245.0,291,1.0
doc_92e08de844168c3e,38,0,215,252.81578947368422,247.5,305,0.0
doc_948ae088c8e6f14c,39,0,169,264.05128205128204,261.0,362,0.0
doc_95f0f8f3bf008a0b,38,38,206,245.3421052631579,243.0,263,1.0
doc_96b165a2a6f7a32d,40,39,240,248.05,246.5,281,0.975
doc_96f34760018e32cc,65,0,240,257.5846153846154,251.0,313,0.0
doc_97de55a65c6e2d51,66,0,105,257.3181818181818,251.0,391,0.0
doc_981214beda5a6637,39,39,164,252.30769230769232,246.0,314,1.0
doc_9852515aa99fe494,45,44,240,248.51111111111112,244.0,285,0.9777777777777777
doc_9997673909738651,57,57,157,243.1578947368421,243.0,259,1.0
doc_9a5944b3d38727a2,35,35,140,243.54285714285714,245.0,269,1.0
doc_9ce05b13f8828060,56,56,159,254.91071428571428,250.0,349,1.0
doc_9da29b5ddacac7d2,62,62,240,245.91935483870967,244.0,268,1.0
doc_9e6379543f294d71,34,34,202,247.97058823529412,246.0,279,1.0
doc_9ed820073ce06c76,71,70,238,249.69014084507043,246.0,328,0.9859154929577465
doc_a0527957f9693152,23,23,111,243.82608695652175,248.0,265,1.0
doc_a0b281c2785ae1ed,65,65,211,246.4923076923077,244.0,299,1.0
doc_a11e5233b2bda4e2,59,58,206,248.54237288135593,245.0,283,0.9830508474576272
doc_a14aed810abe7b9b,30,30,223,250.23333333333332,249.5,282,1.0
doc_a1d2b9d6eaf7c8a9,73,73,142,246.36986301369862,245.0,274,1.0
doc_a57807230362f233,51,0,87,251.64705882352942,248.0,321,0.0
doc_a966111a7b9eb0a6,23,22,55,245.52173913043478,250.0,285,0.9565217391304348
doc_a998bd9e2abe8bd5,1,1,128,128.0,128.0,128,1.0
doc_a9a088e94903df4b,40,40,211,248.35,248.0,265,1.0
doc_aac2e8123c96e254,54,0,69,245.83333333333334,248.5,271,0.0
doc_ab0b946958f4f005,31,31,69,244.90322580645162,246.0,304,1.0
doc_ac743f4f09e1e58c,60,60,240,244.38333333333333,243.0,260,1.0
doc_ace5895fe185da65,74,74,60,246.47297297297297,246.0,286,1.0
doc_b53730e47cc798ef,77,77,238,252.5974025974026,248.0,313,1.0
doc_b5d06e16e286306b,35,35,71,248.34285714285716,246.0,314,1.0
doc_b6665005023d6217,59,0,224,252.3728813559322,246.0,352,0.0
doc_b6fd5d628bb2710e,73,73,240,244.78082191780823,243.0,274,1.0
doc_b71f944ee9bec4b0,50,50,117,246.6,245.0,323,1.0
doc_b99597afcc8d7201,17,17,81,236.88235294117646,245.0,259,1.0
doc_bb533aa1ff54f550,31,31,220,256.5806451612903,250.0,331,1.0
doc_bc29e08f3450ea98,79,79,201,249.72151898734177,246.0,304,1.0
doc_bd7e79d2d8b662f0,60,60,136,242.53333333333333,243.0,266,1.0
doc_c1b714ce1513e838,60,60,94,243.28333333333333,244.0,265,1.0
doc_c3440e03873d8788,70,70,240,246.5857142857143,244.0,277,1.0
doc_c81de68b7ac9189d,66,66,62,245.87878787878788,246.0,290,1.0
doc_c8cb62c97a6b1133,53,53,191,253.81132075471697,251.0,314,1.0
doc_c9defe6cce5ff1fd,37,36,240,249.40540540540542,246.0,285,0.972972972972973
doc_ca13ed7a8ce3eb34,56,56,142,246.83928571428572,246.5,274,1.0
doc_cc7b48f0bda6f359,51,50,207,248.64705882352942,246.0,305,0.9803921568627451
doc_cda5ac0ca4bfa447,34,32,240,248.76470588235293,245.0,286,0.9411764705882353
doc_cfb49b86362bd118,18,18,240,252.33333333333334,247.0,312,1.0
doc_d16712b5a3350889,31,30,240,249.41935483870967,247.0,282,0.967741935483871
doc_d26ac17df9e509e7,66,66,240,248.72727272727272,244.0,308,1.0
doc_d2d8ffad5d07749d,73,0,117,254.23287671232876,249.0,318,0.0
doc_d3a4fcca193fb469,45,45,146,246.57777777777778,246.0,287,1.0
doc_d42528cd9f4f9278,66,65,99,246.92424242424244,245.0,295,0.9848484848484849
doc_d52d828ab53d85d0,36,36,139,248.02777777777777,247.0,276,1.0
doc_d61537ccd540a8ec,63,63,177,248.87301587301587,246.0,307,1.0
doc_d64503ab71e69ea1,11,11,139,235.63636363636363,241.0,262,1.0
doc_d7948b6302ad2fee,61,61,161,243.29508196721312,244.0,271,1.0
doc_d9b928d2f9d57ae9,69,69,237,246.17391304347825,244.0,276,1.0
doc_dbba6e8dcfd5390a,50,50,181,254.82,252.0,346,1.0
doc_de596209415382fe,17,17,172,241.0,243.0,258,1.0
