doc_id,n_chunks,n_chunks_modeling_pt,n_words_mean,n_words_min,n_words_max,noise_residual_chunks
doc_012fe174842b390e,14,14,259.5,189,323,0
doc_02c37e00145d9a32,34,33,270.9117647058824,197,309,0
doc_047d9aa2d7261b26,58,57,265.36206896551727,127,328,0
doc_0a02c0b1be74620a,18,17,274.8333333333333,206,321,0
doc_0dc2e6ecde931dc0,70,68,267.85714285714283,195,363,0
doc_0e16de972b72d565,29,28,265.9310344827586,207,306,0
doc_0f20528122df94e9,30,30,265.76666666666665,193,318,0
doc_1029b8f4fef9beca,49,0,264.48979591836735,126,314,0
doc_1055808810073bc2,15,13,276.06666666666666,251,361,0
doc_11e122f8db3f0253,8,8,268.625,163,321,0
doc_124f0c4d1195ab02,26,26,256.38461538461536,184,293,0
doc_12c6ce2d2fba4df1,46,46,266.7173913043478,147,329,0
doc_1434a07027866aa7,16,16,274.5625,250,327,0
doc_14deab54cdbd6aa1,23,22,268.39130434782606,158,315,0
doc_1cecf4bbb8f06cf1,35,35,275.57142857142856,250,317,0
doc_1d7aeba5c3deb241,43,42,261.25581395348837,126,325,0
doc_1e5ee5a39b2288b7,13,13,274.2307692307692,250,376,0
doc_20c080a645217030,66,65,276.3333333333333,219,329,0
doc_25b8560e3c990709,59,0,272.35593220338984,245,317,0
doc_27d3eb4bf6306e35,15,15,272.0,203,336,0
doc_295321b3ea85e862,40,39,260.8,250,297,0
doc_2da4b14181ace08e,53,52,267.0188679245283,169,319,0
doc_2e794b5b52308c61,40,38,269.525,228,326,0
doc_2ea20bb0263aff60,51,51,261.0980392156863,204,311,0
doc_2f47184626ff09c1,50,49,264.48,194,323,0
doc_2fad00e3ce11f4af,33,32,267.45454545454544,193,330,0
doc_2fd5110893661ffc,20,19,266.9,223,309,0
doc_304cab7668293378,47,0,271.468085106383,196,329,0
doc_31188a538d1b01b5,31,30,261.8709677419355,122,328,0
doc_31b742a33ba14cee,50,0,266.1,225,320,0
doc_33640fb8f77ec4a8,39,38,262.2564102564103,193,323,0
doc_33806bf9e4eb621f,13,13,266.61538461538464,177,299,0
doc_35dea0d9c934b094,50,48,266.92,191,328,0
doc_362e84f5248b2753,1,1,211.0,211,211,0
doc_363006063b67a33f,43,43,280.7906976744186,204,330,0
doc_3662c092fa45c669,31,31,273.2903225806452,199,327,0
doc_37e5a363a19d31b7,12,12,277.3333333333333,231,355,0
doc_39321562bc6f4763,56,0,279.30357142857144,153,403,0
doc_399dacb2736f0f29,55,53,266.1454545454545,197,327,0
doc_3a9c3f93806290fb,59,56,272.10169491525426,216,322,0
doc_3d71a73387cbd4a7,56,55,260.2142857142857,190,321,0
doc_40a5bd913d6434d3,43,42,268.1162790697674,216,327,0
doc_44982372dd74c6da,31,30,265.48387096774195,198,328,0
doc_474985d7ea9b5b8b,51,0,267.4313725490196,147,330,0
doc_478cbac543cfa72a,50,48,266.24,141,311,0
doc_4b2394cc0e9c67f8,33,33,267.6969696969697,193,325,0
doc_4b466654cd374bdf,64,63,263.40625,198,340,0
doc_4fb6c79b4c64bba8,66,64,266.72727272727275,218,327,0
doc_500a84cf9936a539,33,32,260.3333333333333,123,327,0
doc_5054173bba881d3a,2,2,353.0,318,388,0
doc_52108ac94ef635f9,28,28,267.07142857142856,202,323,0
doc_52dd07d4014ead58,41,0,279.1951219512195,208,423,0
doc_5382bf57549b07cb,50,0,262.48,176,329,0
doc_57600d8711fbb9d4,35,35,263.0857142857143,175,324,0
doc_5c06d290f301eadb,17,16,260.8235294117647,130,327,0
doc_5e45678d66a9df7e,40,39,273.025,191,330,0
doc_5e6540144b9030fe,20,20,270.5,230,382,0
doc_5e9eef5d22c00bcf,56,54,261.875,209,319,0
doc_6446f54127e74c2d,56,54,261.30357142857144,206,314,0
doc_66b40b2eb6436092,48,45,270.4583333333333,214,312,0
doc_6a7dc800256491db,46,0,268.7608695652174,206,326,0
doc_6da518659b1ee271,60,0,267.8,222,323,0
doc_6e02133bb486de22,41,41,268.5609756097561,190,325,0
doc_7125fa2ef3d8b81c,63,61,270.06349206349205,180,324,0
doc_7244ee28c4ae4fdf,65,62,268.8615384615385,198,330,0
doc_732280b483c61985,26,26,269.8076923076923,250,317,0
doc_74ca043fafaaea8d,46,44,265.30434782608694,203,323,0
doc_761f127ebf5926ab,22,22,261.22727272727275,186,315,0
doc_76c629289d2e414c,25,24,280.32,248,349,0
doc_7c1dc7dcc6ddc2d7,31,31,282.61290322580646,224,399,0
doc_80a271097010f616,34,31,266.5,200,327,0
doc_8117b4510b37b8a5,21,19,261.9047619047619,250,295,0
doc_813751e4679e395b,52,51,266.09615384615387,201,378,0
doc_8155ca024e437eda,53,53,271.7169811320755,247,360,0
doc_88268e58fe588334,31,0,269.19354838709677,197,329,0
doc_89fa2004a39f9cde,16,16,271.25,220,333,0
doc_8d389e4147701c27,30,0,262.0,148,330,0
doc_8f0f9dbe32c1bce3,62,61,262.9193548387097,120,323,0
doc_90e2fc7494d27bd2,64,63,269.75,235,330,0
doc_92e08de844168c3e,35,0,271.1142857142857,236,412,0
doc_948ae088c8e6f14c,39,0,260.9230769230769,198,319,0
doc_95f0f8f3bf008a0b,35,34,263.8,194,315,0
doc_96b165a2a6f7a32d,36,35,271.27777777777777,218,322,0
doc_96f34760018e32cc,61,0,271.672131147541,217,327,0
doc_97de55a65c6e2d51,62,0,270.11290322580646,189,361,0
doc_981214beda5a6637,36,36,270.5833333333333,168,328,0
