termo,mean_tfidf
gente,0.056642016280263406
pra,0.0439160693452286
acho,0.03601502011490715
no,0.03447640718059798
natura,0.03369843127104571
produto,0.028181206266651184
pele,0.024758737704954063
vou,0.024725323376195717
dia,0.02393869587304041
agora,0.02017525596349751
falou,0.01978306621285791
sabe,0.019613417995042758
sei,0.019611127861789118
produtos,0.019289101301455863
tinha,0.0183782475437847
presente,0.01822708337411265
sao,0.01801065395217238
vezes,0.01790748054877975
mim,0.017727879215432247
falar,0.017337067046127932
pessoa,0.01716662103999514
boticario,0.016968469241372665
embalagem,0.01691781047687075
fala,0.016746690311927787
sim,0.01670388646341272
marca,0.016371889008512983
loja,0.01632016127930067
ver,0.015682749722906796
comprar,0.015592082157938234
legal,0.015192445882607226
vamos,0.015175667517256599
nome,0.01510494254482226
gosto,0.014711206825504137
nao sei,0.014574925908326203
perfume,0.014493803522061692
exemplo,0.014302526591434
questao,0.014124807564535529
pessoas,0.013852258341689723
tempo,0.013751828010619003
anos,0.013750242065894362
linha,0.013689567907256025
sou,0.013608169491891184
vem,0.013396656322502276
fica,0.0133720808119091
parece,0.013176700061361707
das,0.013054312457802541
nem,0.012930174521435165
nao nao,0.012908109663931296
pra mim,0.012391487926115686
propaganda,0.01224175700632023
compra,0.012104961111069361
atencao,0.01166253671387499
falando,0.011587028773983318
entendi,0.01138997909874878
achei,0.011290663682983799
dar,0.011252576844251391
menos,0.010934384688583173
quero,0.01083460341141273
idade,0.010830796712161108
conta,0.010624326206354949
meio,0.010547251270532252
revista,0.010347821509275157
forma,0.010281340154607457
diferente,0.010259050986460008
falei,0.010234539940070427
casa,0.01022013793183718
usar,0.010210371123644936
ficar,0.010204346172022264
hidratante,0.010058120007439286
onde,0.009914527881608539
seria,0.00985139433976834
uso,0.009793593076008928
acha,0.009703594103075752
passa,0.00969249966000796
consultora,0.009666893269488419
melhor,0.009603769027427971
vendo,0.00958965189927219
realmente,0.009556861427644909
mae,0.009464605282045733
marcas,0.009387801115224748
gente nao,0.009333873933017593
pouquinho,0.009300809451179896
parte,0.00928570790002187
queria,0.009254284854873228
dizer,0.009191652490093467
obrigada,0.009185442447818444
entendeu,0.009053643038136161
avon,0.009051267329683192
ideia,0.009005263284534867
gosta,0.009005119305954035
corpo,0.009001968953247763
sou nome,0.008928623613983382
creme,0.008892234463293638
passar,0.008882879065554662
mundo,0.00885636129475302
mulher,0.008849649741457846
deixa,0.008844436890350929
todas,0.00879791183036906
sabonete,0.008737730730230295
natureza,0.00870555840144718
natural,0.008616391756848366
vende,0.00858622748986142
cliente,0.008521774317597456
ficou,0.008440063709573275
tecnologia,0.00841259618242732
boa,0.00837968514736703
sem,0.008320324287104401
relacao,0.008292776513178779
pra gente,0.008277744797487788
impressao,0.008255010212721152
cheiro,0.008214560871984975
vender,0.0081471822427041
momento,0.008144382343324643
tres,0.008127862469021705
verdade,0.008112492699390123
trabalho,0.008098112843703719
cara,0.008092381818900965
saber,0.008082485244828254
cabelo,0.008049879272230937
pedido,0.007927443139701656
alguem,0.007860161404765451
imagem,0.007822794970625387
preco,0.007795401340038376
tao,0.007790369621071663
traz,0.007755200387024701
idade anos,0.007751964383361394
hora,0.007744014538415754
precisa,0.007736880135577503
gostei,0.007718584854760398
tal,0.0076821811925885
usa,0.0076431217860544465
vejo,0.007516164379135546
super,0.007439402319172621
cuidado,0.007414923560459393
passo,0.007391445621545808
compro,0.007385191969895344
novo,0.0073738580632994365
entender,0.007315240465037813
cor,0.0073033919242845155
pergunta,0.007258857086134136
deu,0.007251261542170406
importante,0.007232460348163775
chama,0.007209624729430067
perfumaria,0.007187614087004958
interessante,0.007185781339845043
disso,0.007113935300127358
meninas,0.007095738525387721
vontade,0.007048847640032256
sensacao,0.007048001998090629
site,0.0070359411962351796
beleza,0.0070220669758948445
viu,0.007020438625276042
nunca,0.00700360065560548
teve,0.006938380088411898
caixa,0.006933077005073301
faco,0.006914605246092415
experiencia,0.006869559843418232
consegue,0.0068610421291962044
negra,0.006846142636057013
toda,0.006786906668997015
mostra,0.006762401061037791
ponto,0.006729915893978183
primeira,0.006726245184775878
fazendo,0.006706903065701408
vez,0.0066997749828944676
olhar,0.006657937771523967
pensando,0.006597979554328661
kit,0.0065753771108431605
transmite,0.006513936406831197
refil,0.006451538817967827
clientes,0.006439963543375539
acaba,0.006415762089953862
mostrar,0.00639877610984547
lugar,0.0063893390407206785
rosto,0.006385572592725296
deixar,0.006364623801555135
cabeca,0.0063574753833862355
palavra,0.006350020417388788
vida,0.0063188107469345535
otimo,0.006286177707292315
comecar,0.006271793305839873
promocao,0.006269025019599429
falo,0.0061867680024187
pessoal,0.0061427903839564426
shampoo,0.006141232485442641
pro,0.006128010564679431
sentido,0.006096546389711555
tchau,0.006043917253423108
oleo,0.0060217999608184036
qualidade,0.006013831043266803
colocar,0.00599628347892008
mulheres,0.005994230766423261
banho,0.0059754695369925535
pegar,0.00595146706577044
lembra,0.0059367089122348005
nao tinha,0.0059228220051505825
qualquer,0.005910729746364334
noite,0.005847396586718355
fez,0.005843843309806402
igual,0.005835055427442843
ecos,0.005831427675868998
venda,0.005822655752306125
exatamente,0.005804970437339974
valor,0.005802323529274557
pensar,0.005788117959172103
negocio,0.005755914426451359
acredito,0.005755754993688203
facil,0.005743525793947894
acham,0.005733336321492231
lider,0.005721191813500634
mercado,0.005646781729719947
semana,0.005609868850517938
link,0.005544512459508588
alem,0.005526219047236708
problema,0.005503423220365229
acho nao,0.0054798412898195824
veio,0.005459966990716233
maquiagem,0.00545562623091648
lojas,0.005434866525234998
chama atencao,0.00539468872019902
olhando,0.005370275014552188
maior,0.005365451239587313
desculpa,0.0053562095758242735
final,0.005351254520821664
pele negra,0.005339279064573368
cores,0.005338015865737953
chamou,0.005333994896287068
concorrencia,0.005299451703272877
manda,0.005297735513069714
shopping,0.005282785058728261
claro,0.005257060382173392
entrar,0.005223064149749273
hidratacao,0.005211841347524146
varias,0.005211772783063497
cuidar,0.005194285271000697
dificil,0.005188616059645525
daqui,0.005185112780858315
dias,0.005175842800893602
lembro,0.005137721827920315
embalagens,0.005094685446402123
presentes,0.005077959688974552
tive,0.005076206881338712
chegar,0.0050650937568256105
bonita,0.005059605894667374
nao vou,0.005052999650076982
pensa,0.005047924811131047
amiga,0.005046737094408411
avo,0.005034054062174904
maes,0.005032966371556984
diferenca,0.005032857518471291
jeito,0.005032402093835013
chega,0.005009985609903612
inovacao,0.005001522152067848
mensagem,0.004996517538573251
foto,0.004991841942456117
comprei,0.004987314290429057
geralmente,0.004982360718993001
chamou atencao,0.004969333641729564
poderia,0.004954297421411309
trazer,0.0049464933361205304
passou,0.004941510546396346
lado,0.004934355261746214
fora,0.004902669027141694
mao,0.004893807251563966
formato,0.004873568452950275
propagandas,0.004857981730958341
anos concorrencia,0.004836446105623551
homem,0.0048281169377424014
fusao,0.00479342729761133
aplicativo,0.004779387324179481
reais,0.004753847054619352
dia dia,0.004741547945620067
fiquei,0.004719004608314063
bonito,0.004710720497771346
fiz,0.004707376805156487
mudou,0.004701345052624021
pesquisa,0.004696283824558744
ana,0.0046860133886481884
normalmente,0.004685587693118665
falta,0.004676962789120452
sofisticacao,0.004673194766950178
sentir,0.004654283932595991
diferentes,0.004650885398085289
pedir,0.004616080837184661
trouxe,0.004609118851126117
simples,0.004590286745538889
empresa,0.004576102889648568
kits,0.004531576869476884
espaco,0.0045251803579011915
informacao,0.0045245481651272085
endereco,0.004521942914170796
fragrancia,0.004519799403857352
plastico,0.004514325557144279
sair,0.004510219170622979
remete,0.004499693703608737
conhecer,0.0044927040168832606
caro,0.004490929686261721
presentear,0.004490611644448218
whatsapp,0.004483331363716433
trabalha,0.004471719327075357
sai,0.004447264483984623
falaram,0.004435535183793415
entrega,0.004420823405854186
chegou,0.00441940395489467
conhece,0.0044094640770721725
perfumes,0.004399388264180677
digital,0.004395008374577713
filho,0.004381472037905982
natura nao,0.004378248597961132
conversa,0.004365689388341816
fico,0.004355414034540334
acido,0.004330652250662703
grupo,0.004324926270149459
ambiente,0.004321208175726033
usando,0.004290823106258332
publico,0.004288699103793938
nao acho,0.0042538131981872535
principalmente,0.004249009351490146
preciso,0.004215454081723061
pontos,0.004209274263354065
tivesse,0.004207326580325779
perfeito,0.0041990709406271925
roupa,0.004195900511525839
duvida,0.004193460878389462
dia das,0.004182212721909
base,0.004180853745860249
passando,0.004164315497861423
acabou,0.004147451078316163
no dia,0.004147136035292935
ano,0.0041466299548145145
internet,0.004132020150736635
usaria,0.00413097140980972
ajuda,0.00413035573233325
filhos,0.0041206077545520295
palavras,0.004117807944153934
das maes,0.0040916935439628
entra,0.0040760763881280675
disse,0.004065393269687439
visual,0.0040621071042344645
sente,0.0040546408848951224
junto,0.004051657319883142
sacola,0.004050442638078588
tirar,0.004007668112116683
consumidor,0.0039978013734487715
essencial,0.003996833365192692
acho gente,0.00399407219494903
amostra,0.003985149344809844
papel,0.003983864229152461
senhora,0.003964431368049219
deve,0.003961776166618067
rapido,0.003961526731412838
agua,0.0039433996399514054
fato,0.003927828480594373
falava,0.003924213093319458
amanha,0.003923912029266884
especifico,0.003920127385170975
direto,0.003918298821567373
comprando,0.0038937952218522903
gente gente,0.0038774987536068467
vamos dizer,0.00387651736489098
sabia,0.0038678485568954596
prazer,0.0038653938270279916
resultado,0.0038611797592467624
certeza,0.0038424324236931147
nova,0.0038419704157388397
muda,0.0037928852448959704
online,0.003785938080816884
conseguir,0.00376118421757038
varios,0.003742015999659196
conheco,0.003740459276261806
inclusive,0.0037124473304836316
frente,0.003708162078264567
comigo,0.003707058092886721
trabalhar,0.003695732627602746
olho,0.003680141735944613
pra nao,0.003675122825745752
autocuidado,0.003660191199060809
quiser,0.0036592593222425146
