projeto,termo,mean_tfidf
3cs_perfumes,natura,0.03340004156104026
3cs_perfumes,boticario,0.027377665780355685
3cs_perfumes,loja,0.026386963070875333
3cs_perfumes,perfume,0.024886545691569787
3cs_perfumes,perfumaria,0.0201144832707085
3cs_perfumes,produto,0.014243980986166924
3cs_perfumes,pode,0.013201331559306636
3cs_perfumes,marca,0.013177288062485554
3cs_perfumes,produtos,0.013143691415707127
3cs_perfumes,embalagem,0.01263764528291775
3cs_perfumes,lojas,0.012508408302177821
3cs_perfumes,consultora,0.012098474686423421
3cs_perfumes,presente,0.011348558545962461
3cs_perfumes,vende,0.011224690393887491
3cs_perfumes,perfumes,0.011099811532382866
3cs_perfumes,vender,0.01098230479382338
3cs_perfumes,essencial,0.010929650675001795
3cs_perfumes,relacao,0.010862169261999486
3cs_perfumes,exemplo,0.010828596454116022
3cs_perfumes,questao,0.010714108563300408
3cs_perfumes,ponto,0.010557604328666387
3cs_perfumes,venda,0.00999407962747996
3cs_perfumes,experiencia,0.009952863539504536
3cs_perfumes,ver,0.009847648419435686
3cs_perfumes,depois,0.009698735475942771
3cs_perfumes,compra,0.009669491078134293
3cs_perfumes,consumidor,0.009633473220785393
3cs_perfumes,atencao,0.0096188619355382
3cs_perfumes,gosta,0.009543480726308591
3cs_perfumes,falava,0.009327324541298492
3cs_perfumes,fica,0.009169757336064076
3cs_perfumes,casa,0.009103320557542269
3cs_perfumes,sempre,0.00907168976049215
3cs_perfumes,comprar,0.008975485342590564
3cs_perfumes,cheiro,0.008956397426552591
3cs_perfumes,pelo,0.008855676514667206
3cs_perfumes,marcas,0.008854255317251997
3cs_perfumes,quer,0.008737124922376117
3cs_perfumes,usa,0.008707562549849227
3cs_perfumes,cliente,0.008608327909313521
3cs_perfumes,amostra,0.008377939926668172
3cs_perfumes,achei,0.008313708117742777
3cs_perfumes,preco,0.008260373815161233
3cs_perfumes,hoje,0.008038743967955729
3cs_perfumes,tempo,0.008015303730799082
3cs_perfumes,cara,0.007793974222678395
3cs_perfumes,dentro,0.007719653968404223
3cs_perfumes,duas,0.007531013768346966
3cs_perfumes,promocao,0.0075082161345596905
3cs_perfumes,shopping,0.00748234741476512
anima,refil,0.02597902339848643
anima,parece,0.023701788797539397
anima,embalagem,0.023518623981814167
anima,produto,0.019360620613542563
anima,legal,0.01824684443119169
anima,ver,0.01767337964186009
anima,formato,0.017111480983981412
anima,cor,0.016703150913262996
anima,ecos,0.01647344728864776
anima,diferente,0.015815077924975815
anima,plastico,0.014657657535848913
anima,natura,0.01446142481177621
anima,natureza,0.014459571566199217
anima,atual,0.013522639030853495
anima,pode,0.013329741904021674
anima,ficar,0.013312963469009082
anima,fica,0.013098611857312556
anima,natural,0.012871590311525164
anima,lembra,0.012785044775942256
anima,primeiro,0.012428861929807444
anima,achei,0.01202349390665479
anima,passa,0.011888163169246412
anima,material,0.011759011826470678
anima,atencao,0.011436002345534036
anima,ficou,0.011317288458878137
anima,marca,0.011219616695812533
anima,design,0.011110294764897726
anima,gostei,0.010966344096314347
anima,acham,0.01085217848299699
anima,hoje,0.010607767187068866
anima,visual,0.010581008010753328
anima,sempre,0.010500792986189202
anima,bonito,0.010319854103094812
anima,linha,0.010206120128598183
