doc_id,old_n_chunks,old_mean_words,old_p50_words,new_n_chunks,new_mean_words,new_p50_words,new_kept_chunks,delta_n_chunks_new_minus_old,ratio_new_old_chunks
doc_012fe174842b390e,29,198.41379310344828,202.0,14,259.5,258.0,14,-15,0.4827586206896552
doc_02c37e00145d9a32,64,204.84375,208.5,34,270.9117647058824,268.0,33,-30,0.53125
doc_047d9aa2d7261b26,127,202.88188976377953,205.0,58,265.36206896551727,261.0,57,-69,0.4566929133858268
doc_0a02c0b1be74620a,32,204.15625,209.0,18,274.8333333333333,271.0,17,-14,0.5625
doc_0dc2e6ecde931dc0,140,206.57857142857142,207.0,70,267.85714285714283,260.0,68,-70,0.5
doc_0e16de972b72d565,55,202.0909090909091,204.0,29,265.9310344827586,263.0,28,-26,0.5272727272727272
doc_0f20528122df94e9,54,205.88888888888889,205.0,30,265.76666666666665,263.5,30,-24,0.5555555555555556
doc_1029b8f4fef9beca,106,195.11320754716982,195.5,49,264.48979591836735,260.0,0,-57,0.46226415094339623
doc_1055808810073bc2,31,204.90322580645162,208.0,15,276.06666666666666,270.0,13,-16,0.4838709677419355
doc_11e122f8db3f0253,15,198.6,208.0,8,268.625,274.5,8,-7,0.5333333333333333
doc_124f0c4d1195ab02,48,209.10416666666666,211.0,26,256.38461538461536,257.0,26,-22,0.5416666666666666
doc_12c6ce2d2fba4df1,82,209.2439024390244,210.0,46,266.7173913043478,267.0,46,-36,0.5609756097560976
doc_1434a07027866aa7,32,203.1875,208.0,16,274.5625,269.5,16,-16,0.5
doc_14deab54cdbd6aa1,44,201.1590909090909,205.0,23,268.39130434782606,267.0,22,-21,0.5227272727272727
doc_1cecf4bbb8f06cf1,74,204.3108108108108,205.5,35,275.57142857142856,273.0,35,-39,0.47297297297297297
doc_1d7aeba5c3deb241,76,203.56578947368422,206.0,43,261.25581395348837,263.0,42,-33,0.5657894736842105
doc_1e5ee5a39b2288b7,26,202.19230769230768,204.5,13,274.2307692307692,263.0,13,-13,0.5
doc_20c080a645217030,130,202.46153846153845,204.0,66,276.3333333333333,270.5,65,-64,0.5076923076923077
doc_25b8560e3c990709,109,206.92660550458714,208.0,59,272.35593220338984,266.0,0,-50,0.5412844036697247
doc_27d3eb4bf6306e35,25,215.0,216.0,15,272.0,268.0,15,-10,0.6
doc_295321b3ea85e862,105,194.66666666666666,196.0,40,260.8,255.5,39,-65,0.38095238095238093
doc_2da4b14181ace08e,105,196.97142857142856,199.0,53,267.0188679245283,266.0,52,-52,0.5047619047619047
doc_2e794b5b52308c61,82,198.8048780487805,199.5,40,269.525,262.5,38,-42,0.4878048780487805
doc_2ea20bb0263aff60,109,203.9724770642202,204.0,51,261.0980392156863,257.0,51,-58,0.46788990825688076
doc_2f47184626ff09c1,115,202.37391304347827,201.0,50,264.48,261.0,49,-65,0.43478260869565216
doc_2fad00e3ce11f4af,58,214.43103448275863,216.0,33,267.45454545454544,263.0,32,-25,0.5689655172413793
doc_2fd5110893661ffc,36,205.08333333333334,207.0,20,266.9,267.5,19,-16,0.5555555555555556
doc_304cab7668293378,91,203.1098901098901,204.0,47,271.468085106383,267.0,0,-44,0.5164835164835165
doc_31188a538d1b01b5,51,203.35294117647058,205.0,31,261.8709677419355,262.0,30,-20,0.6078431372549019
doc_31b742a33ba14cee,99,200.31313131313132,202.0,50,266.1,262.0,0,-49,0.5050505050505051
doc_33640fb8f77ec4a8,65,207.75384615384615,208.0,39,262.2564102564103,263.0,38,-26,0.6
doc_33806bf9e4eb621f,24,199.91666666666666,207.0,13,266.61538461538464,269.0,13,-11,0.5416666666666666
doc_35dea0d9c934b094,85,213.65882352941176,214.0,50,266.92,264.0,48,-35,0.5882352941176471
doc_362e84f5248b2753,3,180.0,189.0,1,211.0,211.0,1,-2,0.3333333333333333
doc_363006063b67a33f,88,200.95454545454547,203.0,43,280.7906976744186,274.0,43,-45,0.48863636363636365
doc_3662c092fa45c669,57,202.03508771929825,204.0,31,273.2903225806452,277.0,31,-26,0.543859649122807
doc_37e5a363a19d31b7,23,205.1304347826087,206.0,12,277.3333333333333,278.0,12,-11,0.5217391304347826
doc_39321562bc6f4763,107,204.3271028037383,206.0,56,279.30357142857144,274.0,0,-51,0.5233644859813084
doc_399dacb2736f0f29,94,213.01063829787233,212.0,55,266.1454545454545,264.0,53,-39,0.5851063829787234
doc_3a9c3f93806290fb,111,204.21621621621622,206.0,59,272.10169491525426,268.0,56,-52,0.5315315315315315
doc_3d71a73387cbd4a7,101,206.75247524752476,207.0,56,260.2142857142857,257.5,55,-45,0.5544554455445545
doc_40a5bd913d6434d3,101,203.43564356435644,205.0,43,268.1162790697674,261.0,42,-58,0.42574257425742573
doc_44982372dd74c6da,53,208.24528301886792,210.0,31,265.48387096774195,270.0,30,-22,0.5849056603773585
doc_474985d7ea9b5b8b,89,212.91011235955057,214.0,51,267.4313725490196,267.0,0,-38,0.5730337078651685
doc_478cbac543cfa72a,104,202.69230769230768,205.0,50,266.24,262.0,48,-54,0.4807692307692308
doc_4b2394cc0e9c67f8,53,209.35849056603774,209.0,33,267.6969696969697,269.0,33,-20,0.6226415094339622
doc_4b466654cd374bdf,136,201.14705882352942,202.0,64,263.40625,259.5,63,-72,0.47058823529411764
doc_4fb6c79b4c64bba8,131,205.12977099236642,205.0,66,266.72727272727275,261.5,64,-65,0.5038167938931297
doc_500a84cf9936a539,53,210.0754716981132,214.0,33,260.3333333333333,256.0,32,-20,0.6226415094339622
doc_5054173bba881d3a,6,183.0,199.5,2,353.0,353.0,2,-4,0.3333333333333333
doc_52108ac94ef635f9,52,202.34615384615384,202.0,28,267.07142857142856,267.0,28,-24,0.5384615384615384
doc_52dd07d4014ead58,75,212.49333333333334,213.0,41,279.1951219512195,271.0,0,-34,0.5466666666666666
doc_5382bf57549b07cb,85,211.8235294117647,214.0,50,262.48,261.5,0,-35,0.5882352941176471
doc_57600d8711fbb9d4,59,207.27118644067798,209.0,35,263.0857142857143,263.0,35,-24,0.5932203389830508
doc_5c06d290f301eadb,29,207.68965517241378,209.0,17,260.8235294117647,272.0,16,-12,0.5862068965517241
doc_5e45678d66a9df7e,69,209.1159420289855,211.0,40,273.025,265.5,39,-29,0.5797101449275363
doc_5e6540144b9030fe,37,210.43243243243242,212.0,20,270.5,262.5,20,-17,0.5405405405405406
doc_5e9eef5d22c00bcf,117,203.06837606837607,205.0,56,261.875,254.5,54,-61,0.47863247863247865
doc_6446f54127e74c2d,130,202.76923076923077,203.0,56,261.30357142857144,258.0,54,-74,0.4307692307692308
doc_66b40b2eb6436092,92,200.22826086956522,200.5,48,270.4583333333333,266.0,45,-44,0.5217391304347826
doc_6a7dc800256491db,79,214.22784810126583,216.0,46,268.7608695652174,265.5,0,-33,0.5822784810126582
doc_6da518659b1ee271,112,203.57142857142858,205.0,60,267.8,261.5,0,-52,0.5357142857142857
doc_6e02133bb486de22,69,212.2463768115942,212.0,41,268.5609756097561,271.0,41,-28,0.5942028985507246
doc_7125fa2ef3d8b81c,118,206.9406779661017,206.0,63,270.06349206349205,267.0,61,-55,0.5338983050847458
doc_7244ee28c4ae4fdf,129,206.2093023255814,207.0,65,268.8615384615385,268.0,62,-64,0.5038759689922481
doc_732280b483c61985,51,201.4313725490196,204.0,26,269.8076923076923,266.5,26,-25,0.5098039215686274
doc_74ca043fafaaea8d,96,203.47916666666666,204.0,46,265.30434782608694,262.0,44,-50,0.4791666666666667
doc_761f127ebf5926ab,36,204.66666666666666,205.0,22,261.22727272727275,269.5,22,-14,0.6111111111111112
doc_76c629289d2e414c,48,203.58333333333334,205.0,25,280.32,277.0,24,-23,0.5208333333333334
doc_7c1dc7dcc6ddc2d7,59,202.47457627118644,205.0,31,282.61290322580646,278.0,31,-28,0.5254237288135594
doc_80a271097010f616,59,207.72881355932202,208.0,34,266.5,257.5,31,-25,0.576271186440678
doc_8117b4510b37b8a5,45,198.57777777777778,201.0,21,261.9047619047619,256.0,19,-24,0.4666666666666667
doc_813751e4679e395b,94,206.25531914893617,209.0,52,266.09615384615387,264.0,51,-42,0.5531914893617021
doc_8155ca024e437eda,117,193.7863247863248,196.0,53,271.7169811320755,263.0,53,-64,0.452991452991453
doc_88268e58fe588334,57,204.68421052631578,209.0,31,269.19354838709677,268.0,0,-26,0.543859649122807
doc_89fa2004a39f9cde,26,213.0,212.5,16,271.25,272.0,16,-10,0.6153846153846154
doc_8d389e4147701c27,59,200.42372881355934,204.0,30,262.0,257.0,0,-29,0.5084745762711864
doc_8f0f9dbe32c1bce3,123,198.6991869918699,201.0,62,262.9193548387097,262.0,61,-61,0.5040650406504065
doc_90e2fc7494d27bd2,138,207.52898550724638,208.0,64,269.75,265.0,63,-74,0.463768115942029
doc_92e08de844168c3e,66,205.22727272727272,204.5,35,271.1142857142857,262.0,0,-31,0.5303030303030303
doc_948ae088c8e6f14c,67,211.0,212.0,39,260.9230769230769,256.0,0,-28,0.582089552238806
doc_95f0f8f3bf008a0b,59,208.54237288135593,209.0,35,263.8,261.0,34,-24,0.5932203389830508
doc_96b165a2a6f7a32d,70,203.02857142857144,206.0,36,271.27777777777777,266.0,35,-34,0.5142857142857142
doc_96f34760018e32cc,107,211.0,212.0,61,271.672131147541,268.0,0,-46,0.5700934579439252
doc_97de55a65c6e2d51,117,205.74358974358975,208.0,62,270.11290322580646,265.0,0,-55,0.5299145299145299
doc_981214beda5a6637,60,214.91666666666666,215.0,36,270.5833333333333,274.5,36,-24,0.6
doc_9852515aa99fe494,78,203.8846153846154,205.0,41,268.780487804878,267.0,41,-37,0.5256410256410257
doc_9997673909738651,110,202.48181818181817,202.0,52,260.46153846153845,260.0,50,-58,0.4727272727272727
doc_9a5944b3d38727a2,60,203.33333333333334,205.0,31,271.0967741935484,265.0,0,-29,0.5166666666666667
doc_9ce05b13f8828060,103,197.6893203883495,200.0,51,273.078431372549,266.0,49,-52,0.49514563106796117
doc_9da29b5ddacac7d2,124,202.2741935483871,203.0,56,265.80357142857144,261.0,55,-68,0.45161290322580644
doc_9e6379543f294d71,56,202.82142857142858,204.0,31,269.19354838709677,266.0,30,-25,0.5535714285714286
doc_9ed820073ce06c76,122,203.9672131147541,205.0,65,268.96923076923076,261.0,65,-57,0.5327868852459017
doc_a0527957f9693152,37,204.78378378378378,208.0,21,263.95238095238096,269.0,20,-16,0.5675675675675675
doc_a0b281c2785ae1ed,109,208.92660550458714,210.0,58,271.67241379310343,271.0,58,-51,0.5321100917431193
doc_a11e5233b2bda4e2,99,208.9090909090909,209.0,52,278.0192307692308,276.5,51,-47,0.5252525252525253
doc_a14aed810abe7b9b,48,205.58333333333334,208.0,28,265.42857142857144,266.5,28,-20,0.5833333333333334
doc_a1d2b9d6eaf7c8a9,127,207.10236220472441,207.0,67,263.94029850746267,261.0,66,-60,0.5275590551181102
doc_a57807230362f233,85,209.38823529411764,209.0,48,264.0416666666667,258.5,0,-37,0.5647058823529412
doc_a966111a7b9eb0a6,37,205.2972972972973,207.0,20,278.65,280.0,20,-17,0.5405405405405406
doc_a998bd9e2abe8bd5,2,110.0,110.0,1,117.0,117.0,0,-1,0.5
doc_a9a088e94903df4b,67,206.16417910447763,207.0,36,272.27777777777777,264.0,34,-31,0.5373134328358209
doc_aac2e8123c96e254,104,197.83653846153845,199.0,49,265.3673469387755,262.0,0,-55,0.47115384615384615
doc_ab0b946958f4f005,47,206.85106382978722,208.0,28,269.0357142857143,267.5,27,-19,0.5957446808510638
doc_ac743f4f09e1e58c,128,200.5,201.0,54,263.3333333333333,256.5,53,-74,0.421875
doc_ace5895fe185da65,129,200.7906976744186,202.0,67,267.5970149253731,266.0,67,-62,0.5193798449612403
doc_b53730e47cc798ef,127,207.59055118110237,208.0,69,278.8840579710145,278.0,69,-58,0.5433070866141733
doc_b5d06e16e286306b,56,205.23214285714286,205.0,32,269.0625,268.5,32,-24,0.5714285714285714
doc_b6665005023d6217,122,199.04098360655738,200.5,55,264.1636363636364,261.0,0,-67,0.45081967213114754
doc_b6fd5d628bb2710e,156,199.0448717948718,200.0,66,262.3787878787879,257.0,65,-90,0.4230769230769231
doc_b71f944ee9bec4b0,82,207.35365853658536,207.5,45,270.6666666666667,270.0,45,-37,0.5487804878048781
doc_b99597afcc8d7201,30,205.33333333333334,205.0,14,280.92857142857144,269.5,14,-16,0.4666666666666667
doc_bb533aa1ff54f550,50,206.3,209.0,30,262.73333333333335,262.0,30,-20,0.6
doc_bc29e08f3450ea98,127,209.5275590551181,209.0,71,274.92957746478874,279.0,71,-56,0.5590551181102362
doc_bd7e79d2d8b662f0,127,198.90551181102362,200.0,54,261.48148148148147,257.5,53,-73,0.4251968503937008
doc_c1b714ce1513e838,122,204.0327868852459,206.0,54,262.24074074074076,256.5,54,-68,0.4426229508196721
doc_c3440e03873d8788,127,204.68503937007873,205.0,63,268.55555555555554,263.0,63,-64,0.49606299212598426
doc_c81de68b7ac9189d,116,200.57758620689654,202.0,57,279.7894736842105,280.0,56,-59,0.49137931034482757
doc_c8cb62c97a6b1133,83,209.0843373493976,210.0,50,266.72,270.5,50,-33,0.6024096385542169
doc_c9defe6cce5ff1fd,65,203.6769230769231,205.0,33,275.54545454545456,270.0,33,-32,0.5076923076923077
doc_ca13ed7a8ce3eb34,87,212.183908045977,212.0,52,263.2692307692308,264.5,51,-35,0.5977011494252874
doc_cc7b48f0bda6f359,83,208.6024096385542,211.0,46,272.54347826086956,281.0,45,-37,0.5542168674698795
doc_cda5ac0ca4bfa447,56,207.55357142857142,211.0,31,269.19354838709677,268.0,29,-25,0.5535714285714286
doc_cfb49b86362bd118,30,206.66666666666666,208.5,16,279.8125,269.5,16,-14,0.5333333333333333
doc_d16712b5a3350889,56,199.83928571428572,201.5,28,271.10714285714283,270.5,25,-28,0.5
doc_d26ac17df9e509e7,137,203.72262773722628,205.0,60,263.71666666666664,259.5,60,-77,0.43795620437956206
doc_d2d8ffad5d07749d,127,205.96850393700788,208.0,66,277.6515151515151,273.0,0,-61,0.5196850393700787
doc_d3a4fcca193fb469,80,201.3375,203.0,39,279.28205128205127,276.0,39,-41,0.4875
doc_d42528cd9f4f9278,128,207.234375,207.0,60,263.45,259.5,59,-68,0.46875
doc_d52d828ab53d85d0,55,209.01818181818183,212.0,34,260.38235294117646,268.5,33,-21,0.6181818181818182
doc_d61537ccd540a8ec,112,198.59821428571428,202.0,55,278.2909090909091,277.0,54,-57,0.49107142857142855
doc_d64503ab71e69ea1,17,208.05882352941177,205.0,9,283.55555555555554,288.0,7,-8,0.5294117647058824
doc_d7948b6302ad2fee,127,198.84251968503938,199.0,55,262.3090909090909,257.0,52,-72,0.4330708661417323
doc_d9b928d2f9d57ae9,131,201.9236641221374,203.0,63,264.3015873015873,257.0,62,-68,0.48091603053435117
