chunk_id,x,y
doc_b53730e47cc798ef_pp_ch_0001,0.008609365,0.0721778
doc_b53730e47cc798ef_pp_ch_0002,0.011296436,0.15430792
doc_b53730e47cc798ef_pp_ch_0003,-0.040099807,0.3332679
doc_b53730e47cc798ef_pp_ch_0004,-0.054883614,0.33066356
doc_b53730e47cc798ef_pp_ch_0005,-0.04416152,0.32460943
doc_b53730e47cc798ef_pp_ch_0006,-0.06492383,0.32015648
doc_b53730e47cc798ef_pp_ch_0007,0.016533872,0.1386587
doc_b53730e47cc798ef_pp_ch_0008,-0.004125103,0.13806619
doc_b53730e47cc798ef_pp_ch_0009,-0.0001965,0.118030265
doc_b53730e47cc798ef_pp_ch_0010,-0.03354295,0.14297116
doc_b53730e47cc798ef_pp_ch_0011,0.07998608,0.03232565
doc_b53730e47cc798ef_pp_ch_0012,-0.00804153,0.06469009
doc_b53730e47cc798ef_pp_ch_0013,0.02201891,0.03382723
doc_b53730e47cc798ef_pp_ch_0014,-0.032181058,0.061573528
doc_b53730e47cc798ef_pp_ch_0015,0.0037814048,-0.028962899
doc_b53730e47cc798ef_pp_ch_0016,0.025474086,0.080669165
doc_b53730e47cc798ef_pp_ch_0017,0.018000336,-0.011543394
doc_b53730e47cc798ef_pp_ch_0018,0.07630389,-0.10923075
doc_b53730e47cc798ef_pp_ch_0019,0.09097359,-0.16879725
doc_b53730e47cc798ef_pp_ch_0020,0.10581305,0.038929597
doc_b53730e47cc798ef_pp_ch_0021,0.050581522,-0.081495866
doc_b53730e47cc798ef_pp_ch_0022,0.027756993,-0.030340437
doc_b53730e47cc798ef_pp_ch_0023,0.0042867754,-0.0050643883
doc_b53730e47cc798ef_pp_ch_0024,-0.026032478,-0.0025636577
doc_b53730e47cc798ef_pp_ch_0025,0.12798569,-0.045411587
doc_b53730e47cc798ef_pp_ch_0026,0.03744601,-0.041985214
doc_b53730e47cc798ef_pp_ch_0027,0.037357587,-0.07741302
doc_b53730e47cc798ef_pp_ch_0028,0.026054686,0.10281876
doc_b53730e47cc798ef_pp_ch_0029,0.090273716,0.010528351
doc_b53730e47cc798ef_pp_ch_0030,0.036931273,-0.0076354
doc_b53730e47cc798ef_pp_ch_0031,0.04572942,-0.040492855
doc_b53730e47cc798ef_pp_ch_0032,-0.1594032,-0.052345514
doc_b53730e47cc798ef_pp_ch_0033,-0.12359725,-0.03058492
doc_b53730e47cc798ef_pp_ch_0034,-0.08614676,0.09365148
doc_b53730e47cc798ef_pp_ch_0035,0.039099514,0.08905388
doc_b53730e47cc798ef_pp_ch_0036,0.049748685,0.03129616
doc_b53730e47cc798ef_pp_ch_0037,-0.010547781,0.07465054
doc_b53730e47cc798ef_pp_ch_0038,0.0807064,0.02175455
doc_b53730e47cc798ef_pp_ch_0039,0.05580094,0.07764591
doc_b53730e47cc798ef_pp_ch_0040,0.15048891,-0.075107336
doc_b53730e47cc798ef_pp_ch_0041,0.100377575,-0.12516145
doc_b53730e47cc798ef_pp_ch_0042,-0.061698962,-0.018554822
doc_b53730e47cc798ef_pp_ch_0043,-0.04856368,-0.08218342
doc_b53730e47cc798ef_pp_ch_0044,0.007148826,-0.010507041
doc_b53730e47cc798ef_pp_ch_0045,0.058721203,-0.03418512
doc_b53730e47cc798ef_pp_ch_0046,0.14630716,-0.06774447
doc_b53730e47cc798ef_pp_ch_0047,0.1680256,-0.1756849
