cluster_label,auto_label,rank,similarity_to_cluster_centroid,chunk_id,doc_id,excerpt,projeto,publico,marca_foco,tipo_sessao
km_000,presente / dar / gosta / comprar,1,0.7053542137145996,doc_0a02c0b1be74620a_pp_ch_0008,doc_0a02c0b1be74620a,"É, nessas percepções do que a pessoa já gosta é sempre mais legal, né? Mas você, quando você dá esse presente, por exemplo, esse exemplo que você deu das flores, né? Você tem alguma expectativa? Você tem algum você espera algo também? Você sente que você consegue nomear alguma expectativa quando você tá entregando esse presente pra ela ou enfim, pra outras pessoas também? Eu acho que assim, a minha expectativa é de ver a pessoa feliz, assim, eu acho muito legal você ver a pessoa recebendo presente e ficar contente com aquele presente, independente de você querer alguma troca por isso, né? Eu acho que é muito legal, né? E principalmente quando você dá presente, você sabe que a pessoa gosta daquilo ou quer aquilo, eu acho que é muito satisfatório. Muito legal isso. A sensação de acertar quase o presente, o que vai fazer a pessoa feliz ali naquele momento. Você falou sobre isso ser uma das partes mais legais de dar o presente, você acha que tem alguma parte chata, difícil de presentear? N",natura_3cs,consumidoras,natura,nao_inferido
km_000,presente / dar / gosta / comprar,2,0.6941989660263062,doc_d64503ab71e69ea1_pp_ch_0004,doc_d64503ab71e69ea1,"Eu disse, quando eu for lá, eu vou levar vasinho, uma planta, sei lá. Eu gosto. Bacana. Então você atrela essa presenteabilidade muito como agradecimento, gesto de afeto. Tem algum outro significado para você, o ato de presentear? Acaba que eu gostaria de ser presidenciada, então eu acabo que faço porque eu gosto, eu assim valorizo essa ação, sabe? E eu acho que também porque a minha mãe é assim, aí a gente vai sendo criado assim, acaba que passa, né? Não, perfeito. E você tem, geralmente, algum tipo de presente que você costuma dar, né? Você falou, pra uma casa eu gosto de dar vasinho, uma flor. Tem algum perfil mais ou menos, sei lá, se é aniversário de uma mulher, de homem, de uma criança, ou, não sei, Natal, Dia das Mães, qualquer coisa assim, você tem algum perfil específico? Não, sei lá, vou comprar presente pra uma mulher, independente da ocasião, é sempre na loja X, ou produto, por exemplo, uma flor, ou não. Você gosta de personalizar, né, pra cada dos seus presenteados. Assim,",natura_3cs,consumidoras,natura,nao_inferido
km_000,presente / dar / gosta / comprar,3,0.6709597110748291,doc_0a02c0b1be74620a_pp_ch_0007,doc_0a02c0b1be74620a,"Legal. Você falou aqui de algumas ocasiões específicas, né? Você acha que você dá mais presente nessas datas que estão dadas, ou você percebe que tem outros momentos que você também consegue presentear meio sem motivo? Então, minhas irmãs, elas costumam me presentear também, né? A gente tem uma relação muito boa, graças a Deus, né? Entre irmãos. Então, as minhas irmãs, às vezes, elas vêem alguma coisa como pra mim, então, às vezes, eu também costumo. Uma vez, eu tava até passando no shopping, eu não lembro qual, passando ali, comprei creme pra minha irmã, que eu sabia que ela gostava. Então, sempre que dá, eu costumo, mas é mais, na verdade, é mais no aniversário natal mesmo, né? Mas às vezes você vê alguma coisa que a pessoa gosta, aí eu acho que não tem problema você comprar também pra agradar. Tem esse olhar de uma oportunidade também de quando você lembra, né? Pra além do... Certo. No fim, você comentou, você falou sobre agradar, né? Às vezes você compra presente pra agradar. Você ",natura_3cs,consumidoras,natura,nao_inferido
km_000,presente / dar / gosta / comprar,4,0.664280116558075,doc_44982372dd74c6da_pp_ch_0025,doc_44982372dd74c6da,"Mas assim, de mim, já é natural. Às vezes eu vou sair de casa com a minha namorada para nós. Para que você vai se imprectar assim? Mas você já me conhece? Quer dizer, eu não consigo colocar só uma bermuda e o chinelo, uma camiseta e no shopping. Eu gosto de colocar uma calça, camiseta, perfume, às vezes relógio. Entendeu? E aí, e aí eu fui criando esse laço com as marcas, né? Então as marcas de grife, eu conheço praticamente todas. Todas, todas. Balmain também. Que eu conheço. E você falou que você gosta muito de moda e tudo mais, faz essas pesquisas para você. Quando você pensa em dar presente para alguém, você costuma fazer alguma pesquisa, buscar ideia, buscar referência de presente? E onde? Se você faz isso, onde você busca? Depende do estilo, por exemplo. A minha namorada tem uma religião, a religião espírita. Então, eu sabia que ela queria ganhar... Perdão, não sabia que ela queria ganhar, mas eu falei, vou dar presente arriscado. Que era dar uma escultura. E aí eu falei, meu, nã",natura_3cs,consumidoras,natura,nao_inferido
km_000,presente / dar / gosta / comprar,5,0.6632000207901001,doc_11e122f8db3f0253_pp_ch_0003,doc_11e122f8db3f0253,"Que legal! Até quando não é, eu levo alguma coisinha, sabe? Pra agradar a pessoa, sabe? Eu gosto bastante de presentear, receber amigos em casa. E de presente, você falou que gosta de presentear e de dar de lembrancinha também. O que você costuma ver? O que você gosta de comprar? Eu entendo que são várias ocasiões, não são só nas datas importantes, digamos, Dia das Mães, Natal, Dia dos Pais. Quando você vai, você leva uma lembrancinha? Você procura sempre presentear? Você tem uma coisa fixa? Você procura diversificar? Olha, dependendo da pessoa que eu vou, Eu gosto sempre de prestar atenção na pessoa, sabe? Até quando tem... Por favor, dá exemplo aqui. Até quando tem amigo secreto, por exemplo. Eu pego uma pessoa que eu não tenho muito envolvimento e daí eu procuro stalkear, saber, perguntar para as pessoas próximas, sabe? É o que ela gosta. Mas, normalmente, acessórios, cremes hidratantes, ou coisas pra casa da pessoa, sabe? A não ser quando eu conheço mais a pessoa, daí eu dou alguma",natura_3cs,consumidoras,natura,nao_inferido
km_001,pele / propagandas / mulheres / transmite,1,0.6899746060371399,doc_c1b714ce1513e838_pp_ch_0008,doc_c1b714ce1513e838,"O que mais que transmite quando a gente olha para essas propagandas? Josiane, o que transmite para você essas propagandas? Não tem idade, né? A pessoa assim, tanto jovem como mais pessoas idosas, pode utilizar ele que dá o resultado, né? Principalmente porque com o tempo a gente vai perdendo a elasticidade da pele, na elasticidade, mas tem que usar antes de perder a elasticidade, né? Já tem que começar a usar logo. Não deixar para quando já estiver cheia de rúga, tem que ter a prevenção, né? De cara na foto, eu sinto que é uma marca inclusiva, porque ela mostra... Nessa foto, por exemplo, tem uma asiática, uma negra e uma senhora mais branca. Então, ela remete à ideia de que é para qualquer mulher, qualquer tipo de mulher, não uma mulher em específico. Essa é a primeira imagem que me passa a propaganda. E o que você acha disso? É ótimo, porque antes, quando a gente via essas propagandas, mostrava sempre mulheres brancas, bonitas, padrão modelo, e nem sempre é o padrão que usa. Aqui são",gaia_ii,nao_inferido,nao_inferido,nao_inferido
km_001,pele / propagandas / mulheres / transmite,2,0.6755765080451965,doc_d42528cd9f4f9278_pp_ch_0010,doc_d42528cd9f4f9278,"Tá bom. Sim. Então, olhando aqui para essa imagem. Então, tem várias propagandas aqui de uma marca. E eu quero que vocês me contem aí o que essas propagandas transmitem, quais são os sentimentos, as emoções que elas despertam, que mensagens que ficam quando a gente olha para esse conjunto de propagandas dessa marca. Podem ir falando, tá, meninas? A juventude... Oi, desculpa? Mota bem como a gente falou da diversidade de peles, né? Onde que a gente vê isso, Jasmine? Essa questão da diversidade de peles? A gente tem uma senhora branca, a gente tem uma asiática, a gente tem uma mulher negra, a gente tem uma jovem com a pele branca. Tem uma parda. Tem uma parda. Quem falou juventude? A primeira que falou juventude, Gi? Me conta aí, onde que a gente vê juventude? Eu falo assim que em si mostra os produtos e a forma como a pele é mostrada nas imagens, traz a sensação de juventude, de manter a pele jovem, a pele macia, brilhante, hidratada. E a gente vê até por aquela senhora que tá ali do ca",gaia_ii,nao_inferido,nao_inferido,nao_inferido
km_001,pele / propagandas / mulheres / transmite,3,0.674027681350708,doc_1cecf4bbb8f06cf1_pp_ch_0009,doc_1cecf4bbb8f06cf1,"Ela não deixa de ser sofisticada, mas ela também tem uma leveza. É mais como a nossa colega falou, é mais moderno, dá ar de moderno. Onde que está esse ar de moderno, Silvana? No design da embalagem, essa embalagem mais alongada aqui, desses dourados ali, do azul também, elas são mais altas. Uma sofisticação também na embalagem. Quantas mulheres? O que elas passam, que relação vocês estabelecem com elas aí, o que elas transmitem? Confiança, elas são mulheres muito confiantes. Pele brilhante, pele iluminada, pele bem cuidada. Até a pele dessa mais aqui da esquerda, onde está o Regener, até a pele dela é linda. Então, me mostra que é produto muito bom. Sim, sim, mostra uma pele madura e bem cuidada. Ela tem ali os pezinhos de galinha, ela tem as marcas de expressão dela, mas, no entanto, uma pele viçosa, uma pele bem cuidada. E... E as mais jovens aqui do lado direito, como a Priscila falou, elas transmitem uma autoconfiança de mulher, tipo, eu me cuido. Entendi. Vamos completar a frase.",gaia_ii,nao_inferido,nao_inferido,nao_inferido
km_001,pele / propagandas / mulheres / transmite,4,0.6664645671844482,doc_40a5bd913d6434d3_pp_ch_0012,doc_40a5bd913d6434d3,"E você, Mara? Olha, eu também me identifico com a foto das três mulheres de diversas idades, e mostra que elas têm cuidado especial para a pele, e o brilho, o rosto, você vê que está muito bem tratado. Onde a gente percebe esse rosto bem tratado? Porque ele tá com brilho, tá uniforme, né? Muito bem. Então, a gente vai fazer mais o que a gente fez na outra, tá? As propagandas de Cronos me transmitem o quê, Suzana? Em uma palavra. Qualidade. Qualidade. Confiança, ela é uma marca que já está no mercado já há anos, né? Renovação em que sentido, Eda? Que vai me deixar a minha pele bonita, vistosa. Vou mostrar mais uma, e aí eu quero que vocês Façam o mesmo exercício, olhem e me contem as impressões que essas propagandas estão passando. É uma marca maravilhosa também. Tem valor pouco elevado, né, se tu comparar com Natura, com Avon... Mas isso, as propagandas passam essa ideia de ser valor elevado ou a experiência que você tem com essa marca que... É a experiência que eu tenho. Adquirido, já",gaia_ii,nao_inferido,nao_inferido,nao_inferido
km_001,pele / propagandas / mulheres / transmite,5,0.6650136709213257,doc_1cecf4bbb8f06cf1_pp_ch_0006,doc_1cecf4bbb8f06cf1,"Fala Silvane. Para mim aqui, essa leveza, essa embalagem mais clean aqui, dá a impressão que é produto já para limpeza de pele, e esse outro aqui mais sofisticado, que fica bem aqui no meio, com essa tampinha dourada, ela já transmite cuidado maior com a pele, embalagens práticas, Me conta uma coisa. Na verdade, agora vocês vão completar a frase para mim, tá? As propagandas de clinique me transmitem o quê? Em uma palavra. Que palavra você usaria, Silvani? Leveza. Priscila? Praticidade. Eu vou mostrar agora de outra marca e a gente vai fazer a mesma coisa. Espera só pouquinho. A minha queridinha. Vamos olhar. E aí o que eu vou pedir pra fazer? Eu sei que vocês são consultoras Natura, mas eu vou pedir só pra vocês separarem pouquinho do papel de consultoras agora, olharem pra essas imagens e me contar o que elas transmitem. Olhando pra elas, que mensagem, assim como vocês fizeram com o Clinique, que mensagem que passa, olhando pra essas mulheres, que mensagem que fica, que relação que a ",gaia_ii,nao_inferido,nao_inferido,nao_inferido
