chunk_id,x,y
doc_b53730e47cc798ef_pp_ch_0001,0.02615054,0.12358958
doc_b53730e47cc798ef_pp_ch_0002,0.039495952,0.22187781
doc_b53730e47cc798ef_pp_ch_0003,-0.025806751,0.4895295
doc_b53730e47cc798ef_pp_ch_0004,-0.011072119,0.4742617
doc_b53730e47cc798ef_pp_ch_0005,-0.010248723,0.2795121
doc_b53730e47cc798ef_pp_ch_0006,-0.1129077,0.33228862
doc_b53730e47cc798ef_pp_ch_0007,0.009882548,0.1894783
doc_b53730e47cc798ef_pp_ch_0008,-0.0031239358,0.09639571
doc_b53730e47cc798ef_pp_ch_0009,0.006211193,0.08202586
doc_b53730e47cc798ef_pp_ch_0010,0.012097464,0.0924508
doc_b53730e47cc798ef_pp_ch_0011,0.06796499,0.03748889
doc_b53730e47cc798ef_pp_ch_0012,0.02803236,0.0033519138
doc_b53730e47cc798ef_pp_ch_0013,-0.023467189,0.08120014
doc_b53730e47cc798ef_pp_ch_0014,-0.030096352,-0.01699609
doc_b53730e47cc798ef_pp_ch_0015,-0.024264935,-0.0016171815
doc_b53730e47cc798ef_pp_ch_0016,0.017423345,0.11221816
doc_b53730e47cc798ef_pp_ch_0017,0.087365165,0.11879805
doc_b53730e47cc798ef_pp_ch_0018,0.005120808,-0.008921805
doc_b53730e47cc798ef_pp_ch_0019,0.0417584,-0.10521981
doc_b53730e47cc798ef_pp_ch_0020,0.047351476,-0.005248314
doc_b53730e47cc798ef_pp_ch_0021,0.04850948,-0.00728594
doc_b53730e47cc798ef_pp_ch_0022,0.023675578,-0.013781379
doc_b53730e47cc798ef_pp_ch_0023,-0.034977682,-0.038157094
doc_b53730e47cc798ef_pp_ch_0024,-0.113460444,0.018876959
doc_b53730e47cc798ef_pp_ch_0025,0.08494699,-0.07113504
doc_b53730e47cc798ef_pp_ch_0026,0.049020074,-0.07979103
doc_b53730e47cc798ef_pp_ch_0027,0.049702432,-0.01882324
doc_b53730e47cc798ef_pp_ch_0028,-0.0076462254,0.05457617
doc_b53730e47cc798ef_pp_ch_0029,0.01108921,-0.0450228
doc_b53730e47cc798ef_pp_ch_0030,0.012508824,0.030651173
doc_b53730e47cc798ef_pp_ch_0031,0.008129069,-0.03492408
doc_b53730e47cc798ef_pp_ch_0032,-0.14699064,0.034038346
doc_b53730e47cc798ef_pp_ch_0033,-0.14119211,-0.045306094
doc_b53730e47cc798ef_pp_ch_0034,-0.11659483,0.037346322
doc_b53730e47cc798ef_pp_ch_0035,-0.017203592,0.108027585
doc_b53730e47cc798ef_pp_ch_0036,0.017356103,0.040318005
doc_b53730e47cc798ef_pp_ch_0037,-0.08852332,0.01237776
doc_b53730e47cc798ef_pp_ch_0038,0.076308854,-0.014689166
doc_b53730e47cc798ef_pp_ch_0039,0.017649695,0.056826428
doc_b53730e47cc798ef_pp_ch_0040,0.14602871,-0.08996087
doc_b53730e47cc798ef_pp_ch_0041,0.11454594,-0.0762666
doc_b53730e47cc798ef_pp_ch_0042,-0.046308007,0.047627553
doc_b53730e47cc798ef_pp_ch_0043,-0.03403112,-0.09059094
doc_b53730e47cc798ef_pp_ch_0044,0.004447005,0.048024412
doc_b53730e47cc798ef_pp_ch_0045,0.0636379,0.04577544
doc_b53730e47cc798ef_pp_ch_0046,0.16709206,-0.01800257
doc_b53730e47cc798ef_pp_ch_0047,0.17574622,-0.13059379
doc_b53730e47cc798ef_pp_ch_0048,0.07283755,-0.022970952
doc_b53730e47cc798ef_pp_ch_0049,0.014910225,-0.00030993015
doc_b53730e47cc798ef_pp_ch_0050,-0.011548641,-0.11830691
doc_b53730e47cc798ef_pp_ch_0051,0.016995024,-0.0656022
doc_b53730e47cc798ef_pp_ch_0052,0.046650115,-0.09872792
doc_b53730e47cc798ef_pp_ch_0053,0.12678269,-0.1325813
doc_b53730e47cc798ef_pp_ch_0054,0.1025095,-0.14500217
doc_b53730e47cc798ef_pp_ch_0055,0.08937699,-0.15586331
doc_b53730e47cc798ef_pp_ch_0056,0.21357054,-0.11045018
doc_b53730e47cc798ef_pp_ch_0057,0.14177673,-0.08713107
doc_b53730e47cc798ef_pp_ch_0058,0.2059581,-0.030903127
doc_b53730e47cc798ef_pp_ch_0059,0.14347044,-0.092699826
