segment_col,segment_value,label_col,label,auto_label,n_chunks_segment_label,n_chunks_segment_total,share_in_segment,global_share,diff_pp_vs_global,lift_vs_global,insight_score,representative_excerpt,insight_sentence
projeto,jack_pearson,nmf_topic_id,nmf_11,tecnologia / bio / bioeficiente / linha,182,200,0.91,0.04642282958199357,0.8635771704180064,19.60242424242424,2923.7624580142256,"Então vamos lá. Essas daqui são algumas das embalagens que a Natura Homem vai ter no futuro. Então, só para vocês terem uma ideia do visual, assim, não vou nem ler, porque nem é finalizado o que está escrito aqui, tá? Mas só pra vocês terem uma ideia de qual que é a cara dessa marca ou o que essa marca quer ter no futuro, tá? Então, só pra vocês terem uma ideia aí da carinha da marca no futuro. Aqui eu tenho texto que eu vou ler pra vocês que fala qual é a proposta da marca, o que ela quer oferecer no futuro, o que ela quer, como ela quer ser percebida, tá? Normalmente esse texto a gente nem vê na vida real, mas a gente começa a perceber pela propaganda, na revista, enfim, esse tipo de coisa, o tipo de produto, tá? Então vou ler pra vocês. Natural Homem valoriza todas as formas de ser homem. Por isso, nos especializamos em perfumaria e cuidados masculinos para possibilitar que cada homem","Em projeto = jack_pearson, o tema 'tecnologia / bio / bioeficiente / linha' aparece em 91.0% dos chunks vs. 4.6% no total (lift 19.60x; n=182)."
projeto,anima,nmf_topic_id,nmf_07,refil / embalagem / parece / formato,367,406,0.9039408866995073,0.08641479099678456,0.8175260957027228,10.460488028411044,2838.4498737604877,"Posso pôr sua bolsa aqui? Me incomoda ficar com a gente assim com a bolsa. Desculpa, não vou te deixar sozinha na cama. Bom, meninas, muito bom. Bom, eu sou a [NOME], eu vou falar com vocês, né? Vamos lá! Eu sei que tem coisa pra ver e eu tenho muita coisa. O que eu vou mostrar pra vocês? Eu vou mostrar naturecos. Tá pensando em mudar a embalagem? Três opções, vocês não vão querer mais do que três, mas três grandes linhas de possíveis mudanças de embalagem. O que é super importante vocês entenderem? Primeiro, tudo ainda é preliminar, não tá finalizado, a gente tá fazendo testes, ouvindo as pessoas, então vocês vão ver, dá pra ter uma boa ideia do que é, mas fiquem muito à vontade pela opinião, falem o que vocês pensam. A gente sempre vai ter bode que ele mostra visualmente como vão ser essas embalagens. Então, como é que a gente vai ver na revista, como é que a gente vai ver se a gente p","Em projeto = anima, o tema 'refil / embalagem / parece / formato' aparece em 90.4% dos chunks vs. 8.6% no total (lift 10.46x; n=367)."
projeto,compras_digitais,nmf_topic_id,nmf_04,revista / site / compra / comprar,431,492,0.8760162601626016,0.10651125401929261,0.769505006143309,8.224635680319066,2396.098522457417,"eu sou [NOME] o odor muito apurado. Então, eu gosto de me sentir cheirosa. Acho que isso traz conforto pra mim e também pros outros, sabe? De chegar num lugar e o pessoal falar assim, nossa, que cheiro é esse? Que cheiro bom, sabe? Ter a presença marcada pelo odor. Tá, entendi. Agora eu queria entrar pouco mais especificamente em compra desses produtos, sempre pensando no primeiro momento sobre esses produtos. Me fala onde você costuma comprar, todos os lugares em que você costuma comprar esses produtos de higiene pessoal. Bom, eu tenho problema deixar as coisas muito por a última hora, então tipo, Ai, acabou? Vou comprar no dia que acabou. Então, eu costumo fazer normalmente, compro em loja física. Quando eu já, por exemplo, já tô mais organizada, vou fazer uma viagem que eu sei que tá mais pra frente, eu faço online. Mas normalmente são em lojas físicas que eu compro esses produtos. Al","Em projeto = compras_digitais, o tema 'revista / site / compra / comprar' aparece em 87.6% dos chunks vs. 10.7% no total (lift 8.22x; n=431)."
projeto,mercato_brasil,nmf_topic_id,nmf_12,pedido / fusao / lider / avon,403,516,0.7810077519379846,0.0942524115755627,0.6867553403624218,8.286342374506207,2016.5856185726623,"Do mesmo tempo, três anos. Eu me cadastrei em todas de uma vez só. Falei, vamos ver no que dá. Porque eu não vou precisar sair de casa, para comprar eles entregam, vou ter desconto, então tá tudo certo. Muito bom. Eu sou a [NOME], eu moro aqui na Zona Sul mesmo. Eu venho da Natura já há [IDADE] anos. Agora eu tô tentando vender a bomba, mas por conta dessa fusão eu tô tendo muitos problemas na parte de caixa, pedidos cancelados, transtorno. Vendo Mary Kay também. Por mais que eu tô tentando colocar outras marcas, mas só me conhecem como Judanatura. Já tentei vender o Dora, mas engraçado que quando eu sempre ia fazer meu cadastro, que algumas amigas, clientes que falam, olha, eu gosto disso, eu ia fazer aquele determinado pedido e não tinha os produtos. Principalmente de cabelo. É o Dora? Sim, de cabelo. Aí eu peguei, assim, outro termo foi, eu peguei o Hanso porque eu tentei fazer a pess","Em projeto = mercato_brasil, o tema 'pedido / fusao / lider / avon' aparece em 78.1% dos chunks vs. 9.4% no total (lift 8.29x; n=403)."
projeto,gaia_ii,nmf_topic_id,nmf_08,transmite / atencao / parece / embalagem,253,416,0.6081730769230769,0.05767684887459807,0.5504962280484788,10.54449209327258,1329.3143446842264,"Esse do meio tem uma sofisticação? Oi! Isso, isso. Me conta pouquinho sobre isso. Como que você percebeu a sofisticação aí, Anny? Então, ele tem os arredores, eles são arredondados, né? Então, a partezinha de cima do puppy, ele desceu e trouxe o douradozinho pra própria embalagem. Ele deixou de ser puppy. É aqui que você tá dizendo, né? Isso. Aqui, do lado direito, que tem a embalagem velha, ele tinha .. É como se fosse no final ali do puppy, ele tinha uma rodanazinha, negocinho, que aí ele desceu e veio pra embalagem mesmo, o douradinho. E ele era puppy, né? Ele passou a ser conta-gotas, eu acho. E o que transmite isso para você, Anne, quando você vê esse produto nessa embalagem apresentado dessa forma? Eu prefiro a ideia do pop do que do conta-gotas. Eu acho que se ele tivesse vindo nessa mesma embalagem, só que com o pump, seria melhor, porque o conta-gotas você tem acesso ao produto,","Em projeto = gaia_ii, o tema 'transmite / atencao / parece / embalagem' aparece em 60.8% dos chunks vs. 5.8% no total (lift 10.54x; n=253)."
publico,consumidoras,nmf_topic_id,nmf_05,presente / dar / presentear / gosta,173,261,0.6628352490421456,0.06370578778135048,0.5991294612607951,10.404631543324028,974.7843865740849,"Que legal. Não. E você, já vamos falar mais disso aí, eu quero saber mais sobre isso que você tá falando, hein? Mas você trabalha com o quê? Desculpa, não sei se você falou, que eu não ouvi. É a área contábil. A área contábil, tá, legal. E na Zona Sul, né, que você falou. É, eu comecei a faculdade, mas foi justo 2019, aí de 2020 houve a pandemia, tranquei e não voltei ainda. Tá. O que você estudava na faculdade? Contabilidade? Ciências contábeis. Ciências contábeis. Legal. Mas eu vou voltar. Vai sim, vai sim, já você volta. E me fala uma coisa, você fala uma coisa que eu fiquei muito curioso em saber, quer dizer que você gosta de dar presentinho aqui, presentinho ali, é isso? Conta mais. Mas... É, quero saber. Eu sou a [NOME] presentes da empresa. Então, todo mês tem dois, três aniversariantes, sou eu a responsável. Então a gente faz aquele rateio, né? E eu vou lá e compro. A maioria das","Em publico = consumidoras, o tema 'presente / dar / presentear / gosta' aparece em 66.3% dos chunks vs. 6.4% no total (lift 10.40x; n=173)."
projeto,radiosa,nmf_topic_id,nmf_09,negra / pele negra / pele / acha,202,474,0.42616033755274263,0.04260450160771704,0.38355583594502557,10.002706790860602,697.5142272451723,"Ok. Tá ótimo. Meninas, eu queria saber o seguinte, onde que vocês... Vocês acham que, ao longo do tempo, mudou pouco essa questão em relação à beleza, ao mesmo corpo, como a gente se relaciona com o corpo, como a gente enxerga o nosso corpo, a nossa beleza? Vocês sentem que teve mudança aí ou não? Vocês acham que não teve? Eu com certeza, acho que até complementando o que eu tinha dito, dependendo do ambiente onde eu estou, conforme eu fui vendo mais pessoas e achando mulheres negras bonitas, de cabelos cacheados e crespos e considerando e achando bonito, mulheres negras maquiadas e com corpos não padrão, né? Então, mais baixas, enfim, com coxa, porque a gente tem coxa, a gente tem braço, e aí eu realmente comecei a entender que eu também tinha a minha beleza, mas a partir de ver com mais frequência, referência mesmo. A ideia, aproveitando esse gancho, Danieli, quais são as referências q","Em projeto = radiosa, o tema 'negra / pele negra / pele / acha' aparece em 42.6% dos chunks vs. 4.3% no total (lift 10.00x; n=202)."
projeto,havana_iii,nmf_topic_id,nmf_03,corpo / banho / uso / hidratante,94,126,0.746031746031746,0.06410771704180064,0.6819240289899454,11.63715977509081,681.8510759789325,"Deixa eu dividir pra vocês a minha tela e quando todo mundo estiver vendo grandão, eu começo a ler e a gente lê juntas, né? Na verdade. Todo mundo tá conseguindo ver? Sim. Sim? Então, vamos lá. Natura Todo Dia Energia te convida a começar o seu dia com mais disposição. É uma experiência de bem-estar matinal comprovada por especialistas. Linha com produtos que ativam seu corpo e despertam a mente. Uma linha com produtos que combina a fragrância energizante de flor de gengibre e tangerina com o poder da nutrição prebiótica mais vitamina E, que nutre e protege profundamente a sua pele. Os produtos se unem em ritual exclusivo de automassagem, que auxilia a circulação e desperta seus sentidos, eliminando toxinas e oxigenando seu corpo, trazendo assim mais disposição, vitalidade e bem-estar pra você. Todo dia é energia. Você pronta pra novo dia. Deu pra todo mundo acompanhar a leitura? Tá todo","Em projeto = havana_iii, o tema 'corpo / banho / uso / hidratante' aparece em 74.6% dos chunks vs. 6.4% no total (lift 11.64x; n=94)."
projeto,bem_maes,nmf_topic_id,nmf_02,idade / trabalho / casa / filhos,74,101,0.7326732673267327,0.07435691318327975,0.6583163541434529,9.853465346534652,431.30019610649094,"Se eu cair, também espera pouquinho que a gente logo soluciona e eu entro novamente, tá bom? Então, vamos lá. O que eu quero de vocês? Antes de mais nada, eu não conheço vocês ainda. Então, retratinho básico, tá? A idade, de onde vocês estão falando, com quem vocês moram, se vocês trabalham, se ensinam o quê. Quem quer começar? A Júlia, espera aí, acho que a Júlia está entrando. É isso, Júlia? Quem quer começar? Bom dia. Bom dia. Quer falar, Natália? Você apresenta, então. Porque sempre sobra. Vamos lá, bom dia, meu nome é Natália, tenho [IDADE] anos. Casada, tenho filho de 11. Minha mãe mora com a gente também. eu sou [NOME]. Gosto muito, adoro fazer aqueles bolos maravilhosos. E acho que é isso. Você é de São Paulo? Sou de São Paulo. Me diz uma coisa, qual a idade dos seus filhos? Do filho? 11. Onze, filho. Tá ótimo, obrigada Natália. Quem vai? Fala Maria Eduarda. Oi, meu nome é Maria ","Em projeto = bem_maes, o tema 'idade / trabalho / casa / filhos' aparece em 73.3% dos chunks vs. 7.4% no total (lift 9.85x; n=74)."
projeto,3cs_perfumes,nmf_topic_id,nmf_10,loja / lojas / boticario / experiencia,223,485,0.45979381443298967,0.079983922829582,0.37980989160340767,5.7485779412526545,402.19318270966323,"É, a gente tá tendo alguns problemas, mas tudo bem. Tá falhando pouquinho só, Adriana, não. Sei se... Tá bom, a gente pode fazer por aqui. É, tô em Cajamar, gente. Tô em Cajamar, tudo pode acontecer. Vou tirar a imagem, tá? Tá bom. Melhor, que a gente consegue. Vê se vocês conseguem me escutar melhor. Tô te ouvindo bem. Só então vou começar para a gente conseguir seguir, que aí eu tenho outra agendada para as três. Então a ideia é que seja até no máximo uma hora que a gente consiga concluir, então até as três. Só retomando aqui, eu sou a [NOME], estou aqui representando a Kira, estou aqui para conversar com vocês, que a ideia, acho que vocês já sabem, participaram do treinamento, mas a ideia aqui é a gente fazer, a gente até está chamando de download, fazer uma espécie de download das vivências que vocês tiveram, a gente já recebeu os formulários de vocês e as fotos também que vocês comp","Em projeto = 3cs_perfumes, o tema 'loja / lojas / boticario / experiencia' aparece em 46.0% dos chunks vs. 8.0% no total (lift 5.75x; n=223)."
