segment_col,segment_value,n_chunks,label_col,js_divergence_vs_global
projeto,havana_iii,126,cluster_label,0.8603161149528598
projeto,jack_pearson,200,cluster_label,0.720104409200223
projeto,bem_maes,101,cluster_label,0.7155283897616389
projeto,anima,406,cluster_label,0.6763277654179607
projeto,gaia_ii,416,cluster_label,0.6583597598404654
publico,consumidoras,261,cluster_label,0.5933349101756035
projeto,compras_digitais,492,cluster_label,0.5916540059258301
projeto,rosacea,539,cluster_label,0.5550139456229811
projeto,biome,236,cluster_label,0.5429957549207232
projeto,radiosa,474,cluster_label,0.536996222292581
projeto,mercato_brasil,516,cluster_label,0.5158852713247947
tipo_sessao,entrevista_em_profundidade,485,cluster_label,0.47340199873509414
projeto,3cs_perfumes,485,cluster_label,0.47340199873509414
publico,consultoras,445,cluster_label,0.4643640360732037
publico,lideres,52,cluster_label,0.37417848147666016
projeto,natura_3cs,985,cluster_label,0.36735332829509226
marca_foco,natura,1234,cluster_label,0.267091787106919
marca_foco,nao_inferido,3742,cluster_label,0.040741526657431804
publico,nao_inferido,4218,cluster_label,0.03759097822374406
tipo_sessao,nao_inferido,4491,cluster_label,0.01232590533390926
