segment_col,segment_value,n_chunks,label_col,js_divergence_vs_global
projeto,jack_pearson,200,nmf_topic_id,0.7438166977039968
projeto,anima,406,nmf_topic_id,0.6428247114333638
projeto,havana_iii,126,nmf_topic_id,0.6178729141122916
projeto,gaia_ii,416,nmf_topic_id,0.5805224401876512
projeto,compras_digitais,492,nmf_topic_id,0.5711884576391177
projeto,bem_maes,101,nmf_topic_id,0.534045251817472
projeto,rosacea,539,nmf_topic_id,0.531208349729031
publico,consumidoras,261,nmf_topic_id,0.49629696808170454
projeto,mercato_brasil,516,nmf_topic_id,0.4915609304140593
projeto,radiosa,474,nmf_topic_id,0.4334025310802003
tipo_sessao,entrevista_em_profundidade,485,nmf_topic_id,0.33978888875354774
projeto,3cs_perfumes,485,nmf_topic_id,0.33978888875354774
projeto,natura_3cs,985,nmf_topic_id,0.3186917045290292
publico,consultoras,445,nmf_topic_id,0.31637248928809425
projeto,biome,236,nmf_topic_id,0.2876019204813369
publico,lideres,52,nmf_topic_id,0.2288236156101482
marca_foco,natura,1234,nmf_topic_id,0.20494608657262497
marca_foco,nao_inferido,3742,nmf_topic_id,0.03394987254508891
publico,nao_inferido,4218,nmf_topic_id,0.01756601225993551
tipo_sessao,nao_inferido,4491,nmf_topic_id,0.008778901072951616
