doc_id,solution,persona_id,persona_nome_auto,projeto,pais,marca_foco,publico,tipo_sessao
doc_b53730e47cc798ef,granular_k10,granular_k10_p00,consciente/natural/sustentável + curiosa por inovação e novidade,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_9ed820073ce06c76,granular_k10,granular_k10_p00,consciente/natural/sustentável + curiosa por inovação e novidade,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_a11e5233b2bda4e2,granular_k10,granular_k10_p00,consciente/natural/sustentável + curiosa por inovação e novidade,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_813751e4679e395b,granular_k10,granular_k10_p00,consciente/natural/sustentável + curiosa por inovação e novidade,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_e5652afcdfc168fe,granular_k10,granular_k10_p09,cética ou indecisa + consciente/natural/sustentável,rosacea,argentina,natura,nao_inferido,nao_inferido
doc_96f34760018e32cc,granular_k10,granular_k10_p09,cética ou indecisa + consciente/natural/sustentável,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_b6665005023d6217,granular_k10,granular_k10_p09,cética ou indecisa + consciente/natural/sustentável,rosacea,argentina,natura,nao_inferido,nao_inferido
doc_aac2e8123c96e254,granular_k10,granular_k10_p09,cética ou indecisa + consciente/natural/sustentável,rosacea,argentina,natura,nao_inferido,nao_inferido
doc_31b742a33ba14cee,granular_k10,granular_k10_p09,cética ou indecisa + consciente/natural/sustentável,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_1029b8f4fef9beca,granular_k10,granular_k10_p09,cética ou indecisa + consciente/natural/sustentável,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_6da518659b1ee271,granular_k10,granular_k10_p09,cética ou indecisa + consciente/natural/sustentável,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_ace5895fe185da65,granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_d3a4fcca193fb469,granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_20c080a645217030,granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_8155ca024e437eda,granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_8f0f9dbe32c1bce3,granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_2da4b14181ace08e,granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_d61537ccd540a8ec,granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_c81de68b7ac9189d,granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_9ce05b13f8828060,granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_363006063b67a33f,granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_e64af23fbf476840,granular_k10,granular_k10_p02,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,mexico,nao_inferido,nao_inferido,nao_inferido
doc_304cab7668293378,granular_k10,granular_k10_p02,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,mexico,nao_inferido,nao_inferido,nao_inferido
doc_d2d8ffad5d07749d,granular_k10,granular_k10_p02,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,mexico,concorrencia,nao_inferido,nao_inferido
doc_39321562bc6f4763,granular_k10,granular_k10_p02,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,mexico,concorrencia,nao_inferido,nao_inferido
doc_25b8560e3c990709,granular_k10,granular_k10_p02,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,mexico,concorrencia,nao_inferido,nao_inferido
doc_97de55a65c6e2d51,granular_k10,granular_k10_p02,consciente/natural/sustentável + cuidado pessoal e pele/corpo,rosacea,mexico,nao_inferido,nao_inferido,nao_inferido
doc_b5d06e16e286306b,granular_k10,granular_k10_p01,comparadora de marcas + guiada por marca e confiança,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_9e6379543f294d71,granular_k10,granular_k10_p01,comparadora de marcas + guiada por marca e confiança,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
