doc_id,solution,persona_id,persona_nome_auto,projeto,pais,marca_foco,publico,tipo_sessao
doc_b53730e47cc798ef,macro_k3,macro_k3_p02,Compradora Social e Presenteadora,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_9ed820073ce06c76,macro_k3,macro_k3_p00,Cuidadora Consciente,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_a11e5233b2bda4e2,macro_k3,macro_k3_p00,Cuidadora Consciente,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_813751e4679e395b,macro_k3,macro_k3_p02,Compradora Social e Presenteadora,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_e5652afcdfc168fe,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,argentina,natura,nao_inferido,nao_inferido
doc_96f34760018e32cc,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_b6665005023d6217,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,argentina,natura,nao_inferido,nao_inferido
doc_aac2e8123c96e254,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,argentina,natura,nao_inferido,nao_inferido
doc_31b742a33ba14cee,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_1029b8f4fef9beca,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_6da518659b1ee271,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_ace5895fe185da65,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_d3a4fcca193fb469,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_20c080a645217030,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_8155ca024e437eda,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_8f0f9dbe32c1bce3,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_2da4b14181ace08e,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_d61537ccd540a8ec,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_c81de68b7ac9189d,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_9ce05b13f8828060,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_363006063b67a33f,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_e64af23fbf476840,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,mexico,nao_inferido,nao_inferido,nao_inferido
doc_304cab7668293378,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,mexico,nao_inferido,nao_inferido,nao_inferido
doc_d2d8ffad5d07749d,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,mexico,concorrencia,nao_inferido,nao_inferido
doc_39321562bc6f4763,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,mexico,concorrencia,nao_inferido,nao_inferido
doc_25b8560e3c990709,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,mexico,concorrencia,nao_inferido,nao_inferido
doc_97de55a65c6e2d51,macro_k3,macro_k3_p00,Cuidadora Consciente,rosacea,mexico,nao_inferido,nao_inferido,nao_inferido
doc_b5d06e16e286306b,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_9e6379543f294d71,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_33640fb8f77ec4a8,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_1d7aeba5c3deb241,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_ab0b946958f4f005,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_eeb118edb6d745e0,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_5054173bba881d3a,macro_k3,macro_k3_p02,Compradora Social e Presenteadora,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_761f127ebf5926ab,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_a998bd9e2abe8bd5,macro_k3,macro_k3_p02,Compradora Social e Presenteadora,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_57600d8711fbb9d4,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_3662c092fa45c669,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_31188a538d1b01b5,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_7c1dc7dcc6ddc2d7,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_e88651825b162294,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_a0527957f9693152,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_fcc334ae6da3d7f2,macro_k3,macro_k3_p02,Compradora Social e Presenteadora,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade
doc_362e84f5248b2753,macro_k3,macro_k3_p02,Compradora Social e Presenteadora,3cs_perfumes,nao_inferido,nao_inferido,lideres,entrevista_em_profundidade
doc_ca13ed7a8ce3eb34,macro_k3,macro_k3_p01,Comparadora Omnicanal,3cs_perfumes,nao_inferido,nao_inferido,lideres,entrevista_em_profundidade
