doc_id,persona_id,persona_nome_auto,n_words_persona_text,projeto,pais,marca_foco,publico,tipo_sessao
doc_b53730e47cc798ef,persona_02,Compradora Social e Presenteadora,15816,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_9ed820073ce06c76,persona_00,Cuidadora Consciente,15130,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_a11e5233b2bda4e2,persona_00,Cuidadora Consciente,11706,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_813751e4679e395b,persona_02,Compradora Social e Presenteadora,11412,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido
doc_e5652afcdfc168fe,persona_00,Cuidadora Consciente,9263,rosacea,argentina,natura,nao_inferido,nao_inferido
doc_96f34760018e32cc,persona_00,Cuidadora Consciente,8764,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_b6665005023d6217,persona_00,Cuidadora Consciente,8888,rosacea,argentina,natura,nao_inferido,nao_inferido
doc_aac2e8123c96e254,persona_00,Cuidadora Consciente,7205,rosacea,argentina,natura,nao_inferido,nao_inferido
doc_31b742a33ba14cee,persona_00,Cuidadora Consciente,7956,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_1029b8f4fef9beca,persona_00,Cuidadora Consciente,8260,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_6da518659b1ee271,persona_00,Cuidadora Consciente,9896,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido
doc_ace5895fe185da65,persona_00,Cuidadora Consciente,14184,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_d3a4fcca193fb469,persona_00,Cuidadora Consciente,10934,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_20c080a645217030,persona_00,Cuidadora Consciente,14606,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_8155ca024e437eda,persona_00,Cuidadora Consciente,14760,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_8f0f9dbe32c1bce3,persona_00,Cuidadora Consciente,16473,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_2da4b14181ace08e,persona_00,Cuidadora Consciente,14346,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_d61537ccd540a8ec,persona_00,Cuidadora Consciente,12386,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_c81de68b7ac9189d,persona_00,Cuidadora Consciente,16065,rosacea,brasil,natura,nao_inferido,nao_inferido
doc_9ce05b13f8828060,persona_00,Cuidadora Consciente,14166,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_363006063b67a33f,persona_00,Cuidadora Consciente,12196,rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
doc_e64af23fbf476840,persona_00,Cuidadora Consciente,16558,rosacea,mexico,nao_inferido,nao_inferido,nao_inferido
doc_304cab7668293378,persona_00,Cuidadora Consciente,7518,rosacea,mexico,nao_inferido,nao_inferido,nao_inferido
doc_d2d8ffad5d07749d,persona_00,Cuidadora Consciente,11509,rosacea,mexico,concorrencia,nao_inferido,nao_inferido
doc_39321562bc6f4763,persona_00,Cuidadora Consciente,9172,rosacea,mexico,concorrencia,nao_inferido,nao_inferido
doc_25b8560e3c990709,persona_00,Cuidadora Consciente,10323,rosacea,mexico,concorrencia,nao_inferido,nao_inferido
doc_97de55a65c6e2d51,persona_00,Cuidadora Consciente,11249,rosacea,mexico,nao_inferido,nao_inferido,nao_inferido
