segment_col,segment_value,label_col,label,auto_label,n_chunks_segment_label,n_chunks_segment_total,share_in_segment,global_share,diff_pp_vs_global,lift_vs_global,insight_score,representative_excerpt,insight_sentence
projeto,havana_iii,cluster_label,km_011,energia / energizante / usaria / banho,122,126,0.9682539682539684,0.0245176848874598,0.9437362833665084,39.49206349206349,4431.815546571135,"Deixa eu dividir pra vocês a minha tela e quando todo mundo estiver vendo grandão, eu começo a ler e a gente lê juntas, né? Na verdade. Todo mundo tá conseguindo ver? Sim. Sim? Então, vamos lá. Natura Todo Dia Energia te convida a começar o seu dia com mais disposição. É uma experiência de bem-estar matinal comprovada por especialistas. Linha com produtos que ativam seu corpo e despertam a mente. Uma linha com produtos que combina a fragrância energizante de flor de gengibre e tangerina com o poder da nutrição prebiótica mais vitamina E, que nutre e protege profundamente a sua pele. Os produtos se unem em ritual exclusivo de automassagem, que auxilia a circulação e desperta seus sentidos, eliminando toxinas e oxigenando seu corpo, trazendo assim mais disposição, vitalidade e bem-estar pra você. Todo dia é energia. Você pronta pra novo dia. Deu pra todo mundo acompanhar a leitura? Tá todo","Em projeto = havana_iii, o tema 'energia / energizante / usaria / banho' aparece em 96.8% dos chunks vs. 2.5% no total (lift 39.49x; n=122)."
projeto,jack_pearson,cluster_label,km_012,tecnologia / bio / bioeficiente / produto,170,200,0.85,0.0341639871382636,0.8158360128617363,24.88,3311.967877813505,"Então, tudo que ela vai oferecer, E no futuro aqui, então por exemplo, pra barba vai ter creme de barbear, vai ter balme pós-barba, vai ter óleo finalizador de barba, vai ter espuma de barbear, vai ter gel de barbear. Pra cabelos, vai ter shampoo dois em shampoo anti-caspa, shampoo anti-queda, loção anti-queda e pomada modeladora. Pra corpo, vai ter desodorante roll-on, vai ter sabonete em barra, sabonete límpido, hidratante corporal, hidratante para as mãos e áreas ressecadas, hidratante para o rosto, PRO-AID. E por fim, na parte de perfumaria, vai ter DEL- COLONIA e DEL-PARFUM e DEL-SPRAY e REFIL, tá? Então, só para vocês terem uma visão geral aí do que vai ser o futuro dessa marca, tá bom? Mas como eu disse para vocês, não é esse o nosso foco, então vou até parar de compartilhar aqui para a gente conversar pouquinho. O que acontece, gente? Toda essa linha aí que vocês viram, toda essa","Em projeto = jack_pearson, o tema 'tecnologia / bio / bioeficiente / produto' aparece em 85.0% dos chunks vs. 3.4% no total (lift 24.88x; n=170)."
publico,consumidoras,cluster_label,km_000,presente / dar / gosta / comprar,190,261,0.7279693486590039,0.0478295819935691,0.6801397666654347,15.220065037509258,1837.610026149982,"Que legal. Não. E você, já vamos falar mais disso aí, eu quero saber mais sobre isso que você tá falando, hein? Mas você trabalha com o quê? Desculpa, não sei se você falou, que eu não ouvi. É a área contábil. A área contábil, tá, legal. E na Zona Sul, né, que você falou. É, eu comecei a faculdade, mas foi justo 2019, aí de 2020 houve a pandemia, tranquei e não voltei ainda. Tá. O que você estudava na faculdade? Contabilidade? Ciências contábeis. Ciências contábeis. Legal. Mas eu vou voltar. Vai sim, vai sim, já você volta. E me fala uma coisa, você fala uma coisa que eu fiquei muito curioso em saber, quer dizer que você gosta de dar presentinho aqui, presentinho ali, é isso? Conta mais. Mas... É, quero saber. Eu sou a [NOME] presentes da empresa. Então, todo mês tem dois, três aniversariantes, sou eu a responsável. Então a gente faz aquele rateio, né? E eu vou lá e compro. A maioria das","Em publico = consumidoras, o tema 'presente / dar / gosta / comprar' aparece em 72.8% dos chunks vs. 4.8% no total (lift 15.22x; n=190)."
projeto,bem_maes,cluster_label,km_004,mae / casa / filho / cuidar,92,101,0.9108910891089108,0.0671221864951768,0.843768902613734,13.570640896424973,975.81786043816,"Deixa eu colocar vocês aqui pra cima pra eu conseguir ler tudo. Então, vamos lá. Muitas vezes, nós mães ficamos tão preocupadas com quem está à nossa volta que acabamos esquecendo de nós mesmas. É claro que nosso coração fica tranquilo quando nossos filhos estão bem. Porém, reconhecer que o bem-estar de nossos filhos começa com o nosso bem-estar bem pode ser libertador. Assumir amorosamente todas as nossas versões, mãe, mulher, amiga, filha, companheira, profissional. Se arrumar, sair com as amigas, passar batom, usar aquele perfume para momentos especiais, fazer ritual de autocuidado, cuidar da pele, do cabelo, fazer uma massagem, uma viagem a tempos planejada, colocar em prática algum sonho. Quanto mais feliz a gente é em cada de nossos papéis, mais inteira nos sentimos e nos tornamos as melhores mães que podemos ser. Que nesse dia das mães a gente lembre de se cuidar para também poder","Em projeto = bem_maes, o tema 'mae / casa / filho / cuidar' aparece em 91.1% dos chunks vs. 6.7% no total (lift 13.57x; n=92)."
projeto,anima,cluster_label,km_003,refil / embalagem / parece / formato,358,406,0.8817733990147784,0.0733520900321543,0.808421308982624,12.021108036979554,3189.6720936784263,"Posso pôr sua bolsa aqui? Me incomoda ficar com a gente assim com a bolsa. Desculpa, não vou te deixar sozinha na cama. Bom, meninas, muito bom. Bom, eu sou a [NOME], eu vou falar com vocês, né? Vamos lá! Eu sei que tem coisa pra ver e eu tenho muita coisa. O que eu vou mostrar pra vocês? Eu vou mostrar naturecos. Tá pensando em mudar a embalagem? Três opções, vocês não vão querer mais do que três, mas três grandes linhas de possíveis mudanças de embalagem. O que é super importante vocês entenderem? Primeiro, tudo ainda é preliminar, não tá finalizado, a gente tá fazendo testes, ouvindo as pessoas, então vocês vão ver, dá pra ter uma boa ideia do que é, mas fiquem muito à vontade pela opinião, falem o que vocês pensam. A gente sempre vai ter bode que ele mostra visualmente como vão ser essas embalagens. Então, como é que a gente vai ver na revista, como é que a gente vai ver se a gente p","Em projeto = anima, o tema 'refil / embalagem / parece / formato' aparece em 88.2% dos chunks vs. 7.3% no total (lift 12.02x; n=358)."
projeto,gaia_ii,cluster_label,km_010,transmite / tecnologia / embalagem / parece,208,416,0.5,0.0420016077170418,0.4579983922829582,11.904306220095696,1038.784181295097,"Esse do meio tem uma sofisticação? Oi! Isso, isso. Me conta pouquinho sobre isso. Como que você percebeu a sofisticação aí, Anny? Então, ele tem os arredores, eles são arredondados, né? Então, a partezinha de cima do puppy, ele desceu e trouxe o douradozinho pra própria embalagem. Ele deixou de ser puppy. É aqui que você tá dizendo, né? Isso. Aqui, do lado direito, que tem a embalagem velha, ele tinha .. É como se fosse no final ali do puppy, ele tinha uma rodanazinha, negocinho, que aí ele desceu e veio pra embalagem mesmo, o douradinho. E ele era puppy, né? Ele passou a ser conta-gotas, eu acho. E o que transmite isso para você, Anne, quando você vê esse produto nessa embalagem apresentado dessa forma? Eu prefiro a ideia do pop do que do conta-gotas. Eu acho que se ele tivesse vindo nessa mesma embalagem, só que com o pump, seria melhor, porque o conta-gotas você tem acesso ao produto,","Em projeto = gaia_ii, o tema 'transmite / tecnologia / embalagem / parece' aparece em 50.0% dos chunks vs. 4.2% no total (lift 11.90x; n=208)."
projeto,gaia_ii,cluster_label,km_001,pele / propagandas / mulheres / transmite,161,416,0.3870192307692308,0.0371784565916398,0.3498407741775909,10.40977130977131,529.999390454961,"A Giseline até estava falando, eu lembro de ter visto de Natura, de Neutrodina, mostra pele impecável. Vocês lembram, podem não ter visto recentemente, mas lembram do que se mostra nessas propagandas de produtos aí para o rosto? Vem alguma lembrança aí na cabeça de vocês? Eu acho que geralmente quando se mostra uma pele bem viciosa, como o Gislane colocou, sem manchas, sem marcas. É muito do que a gente que usa Instagram, que tá sempre ali postando, gosta de usar sempre aqueles photoshops, porque a gente acaba deixando a pele mais lisa, mais bonita, mais viciosa. Ou as propagandas, quando elas vêm, elas vêm nesse sentido, porque elas querem oferecer o melhor do produto. Mas também, como a Juliane colocou, a gente sabe que é processo diário, não é? Vou usar produto aqui hoje e amanhã minha pele vai estar perfeita. Outra coisa, alimentação, água, tudo isso influi em uma pele perfeita. Jasm","Em projeto = gaia_ii, o tema 'pele / propagandas / mulheres / transmite' aparece em 38.7% dos chunks vs. 3.7% no total (lift 10.41x; n=161)."
projeto,radiosa,cluster_label,km_016,pele negra / negra / pele / linha,157,474,0.3312236286919831,0.0319533762057877,0.2992702524861953,10.365841360825836,440.0580802815999,"E onde você buscava essas informações? Eu ia na internet pesquisar. O que fazer para melhor amenizar as estrias? Eu no Google ali, eu ia ver algum vídeo no YouTube que alguém fez uma misturinha louca lá e diz que dava certo. Enfim, aí tem alguma influência ali, né? Eu sigo algumas e aí falava que fez e trouxe efeito. E às vezes, gente, olha, a gente tem uma certa inocência, né? A pele da moça, a moça é loira, como é que o negócio que serve pra pele dela vai servir pra mim? Mas na época era uma inocência que eu falava, ai, eu vou passar também. Aí, ó, você pegou gancho importante pra mim que eu já vou emendar nesse gancho, Diana. Cuidado pra pele do corpo, tá? Pele negra, vocês acham que é diferente? As necessidades que uma pele negra tem, ela é diferente? E quais são? Se sim ou não, e quais são as necessidades que a nossa pele tem? Eu acredito que sim. Eu acho, primeiro, principalmente p","Em projeto = radiosa, o tema 'pele negra / negra / pele / linha' aparece em 33.1% dos chunks vs. 3.2% no total (lift 10.37x; n=157)."
projeto,biome,cluster_label,km_009,produto / marca / produtos / questao,164,236,0.6949152542372882,0.0695337620578778,0.6253814921794103,9.99392573723915,922.4400904892892,"E a gente sempre acaba caindo nessa discussão de, nossa, mas sou só eu, é só pouquinho de gente, que fácil, e todo mundo fizesse. Mas a questão é, antes da gente pensar no que o outro está fazendo, talvez se a gente pensasse só aqui, vamos começar dentro da nossa casa, a gente consegue ir expandindo. E além disso, até tem documentário muito interessante da BBC, se não me engano, Destino do Lixo, é rapidinho, coisa de 20 minutos e meia hora, falam muito sobre isso, sobre as grandes corporações e o que elas têm pensado em relação a isso, em trazer essa imagem verde, que a gente chama de greenwashing, para os consumidores. Será que as corporações também estão fazendo o seu trabalho, ou elas só estão utilizando dessa imagem para que elas se vendam como produto verde, produto sustentável, Nossa, olha que legal essa empresa, ela é super legal, se preocupa mais lá por trás das câmeras, né? Eles","Em projeto = biome, o tema 'produto / marca / produtos / questao' aparece em 69.5% dos chunks vs. 7.0% no total (lift 9.99x; n=164)."
projeto,compras_digitais,cluster_label,km_013,revista / compra / site / comprar,432,492,0.8780487804878049,0.0912379421221865,0.7868108383656184,9.623724078650476,2931.223495171717,"eu sou [NOME] o odor muito apurado. Então, eu gosto de me sentir cheirosa. Acho que isso traz conforto pra mim e também pros outros, sabe? De chegar num lugar e o pessoal falar assim, nossa, que cheiro é esse? Que cheiro bom, sabe? Ter a presença marcada pelo odor. Tá, entendi. Agora eu queria entrar pouco mais especificamente em compra desses produtos, sempre pensando no primeiro momento sobre esses produtos. Me fala onde você costuma comprar, todos os lugares em que você costuma comprar esses produtos de higiene pessoal. Bom, eu tenho problema deixar as coisas muito por a última hora, então tipo, Ai, acabou? Vou comprar no dia que acabou. Então, eu costumo fazer normalmente, compro em loja física. Quando eu já, por exemplo, já tô mais organizada, vou fazer uma viagem que eu sei que tá mais pra frente, eu faço online. Mas normalmente são em lojas físicas que eu compro esses produtos. Al","Em projeto = compras_digitais, o tema 'revista / compra / site / comprar' aparece em 87.8% dos chunks vs. 9.1% no total (lift 9.62x; n=432)."
projeto,radiosa,cluster_label,km_007,pele / corpo / uso / gosto,163,474,0.3438818565400844,0.0363745980707395,0.3075072584693448,9.453901205212487,423.7406652266499,"Eu penso em cuidado. Porque, pra mim, beleza sempre vem com a minha rotina de sempre hidratar. Eu tenho uma filha que normalmente fica com a boquinha ressecada porque ela coça. Então, ela já tá acostumada com a rotina de passar hidratante aqui em volta. Então, eu penso muito no cuidado de estar com autocuidado em dia. Que aí eu acho que isso vai refletir. Eu me sinto bonita, pelo menos falando de forma bem individual. Quando eu tô com o meu autocuidado em dia. Então, você falou uma coisa que é importante eu já falar. Hoje é dia de ser egoísta, dia de pensar em vocês, na realidade de vocês, ponto de vista de vocês, tá? Sejam egoístas sem culpa hoje. Vamos lá, e pras outras. Falou beleza, o que vem? Eu vou numa linha parecida com a dani. Eu não sou muito de maquiagem, tá, gente? Então, todo mundo que me conhece me vê com essa cara e batom. Eu não passo nem rímel porque irrita meu olho. Nem","Em projeto = radiosa, o tema 'pele / corpo / uso / gosto' aparece em 34.4% dos chunks vs. 3.6% no total (lift 9.45x; n=163)."
