projeto_real,projeto_previsto,qtd_erros,possivel_interpretacao
3cs_perfumes,natura_3cs,36,a verificar — vocabulário temático compartilhado
natura_3cs,3cs_perfumes,24,a verificar — vocabulário temático compartilhado
natura_3cs,mercato_brasil,18,a verificar — vocabulário temático compartilhado
mercato_brasil,natura_3cs,16,a verificar — vocabulário temático compartilhado
3cs_perfumes,mercato_brasil,13,a verificar — vocabulário temático compartilhado
biome,compras_digitais,11,a verificar — vocabulário temático compartilhado
natura_3cs,compras_digitais,11,a verificar — vocabulário temático compartilhado
compras_digitais,natura_3cs,8,a verificar — vocabulário temático compartilhado
radiosa,natura_3cs,7,a verificar — vocabulário temático compartilhado
natura_3cs,radiosa,5,a verificar — vocabulário temático compartilhado
compras_digitais,biome,5,a verificar — vocabulário temático compartilhado
natura_3cs,anima,5,a verificar — vocabulário temático compartilhado
biome,anima,4,a verificar — vocabulário temático compartilhado
gaia_ii,rosacea,4,a verificar — vocabulário temático compartilhado
anima,natura_3cs,4,a verificar — vocabulário temático compartilhado
rosacea,biome,4,a verificar — vocabulário temático compartilhado
mercato_brasil,3cs_perfumes,3,a verificar — vocabulário temático compartilhado
gaia_ii,biome,3,a verificar — vocabulário temático compartilhado
biome,radiosa,3,a verificar — vocabulário temático compartilhado
gaia_ii,compras_digitais,3,a verificar — vocabulário temático compartilhado
bem_maes,natura_3cs,3,a verificar — vocabulário temático compartilhado
3cs_perfumes,compras_digitais,3,a verificar — vocabulário temático compartilhado
mercato_brasil,biome,2,a verificar — vocabulário temático compartilhado
mercato_brasil,compras_digitais,2,a verificar — vocabulário temático compartilhado
jack_pearson,biome,2,a verificar — vocabulário temático compartilhado
jack_pearson,anima,2,a verificar — vocabulário temático compartilhado
gaia_ii,radiosa,2,a verificar — vocabulário temático compartilhado
natura_3cs,bem_maes,2,a verificar — vocabulário temático compartilhado
rosacea,gaia_ii,2,a verificar — vocabulário temático compartilhado
rosacea,natura_3cs,2,a verificar — vocabulário temático compartilhado
bem_maes,radiosa,2,a verificar — vocabulário temático compartilhado
anima,biome,2,a verificar — vocabulário temático compartilhado
biome,natura_3cs,2,a verificar — vocabulário temático compartilhado
anima,radiosa,2,a verificar — vocabulário temático compartilhado
natura_3cs,biome,1,a verificar — vocabulário temático compartilhado
anima,3cs_perfumes,1,a verificar — vocabulário temático compartilhado
rosacea,3cs_perfumes,1,a verificar — vocabulário temático compartilhado
radiosa,rosacea,1,a verificar — vocabulário temático compartilhado
anima,jack_pearson,1,a verificar — vocabulário temático compartilhado
radiosa,compras_digitais,1,a verificar — vocabulário temático compartilhado
radiosa,bem_maes,1,a verificar — vocabulário temático compartilhado
radiosa,anima,1,a verificar — vocabulário temático compartilhado
anima,mercato_brasil,1,a verificar — vocabulário temático compartilhado
bem_maes,compras_digitais,1,a verificar — vocabulário temático compartilhado
gaia_ii,mercato_brasil,1,a verificar — vocabulário temático compartilhado
compras_digitais,radiosa,1,a verificar — vocabulário temático compartilhado
bem_maes,rosacea,1,a verificar — vocabulário temático compartilhado
biome,bem_maes,1,a verificar — vocabulário temático compartilhado
mercato_brasil,rosacea,1,a verificar — vocabulário temático compartilhado
biome,gaia_ii,1,a verificar — vocabulário temático compartilhado
biome,havana_iii,1,a verificar — vocabulário temático compartilhado
biome,mercato_brasil,1,a verificar — vocabulário temático compartilhado
biome,rosacea,1,a verificar — vocabulário temático compartilhado
compras_digitais,3cs_perfumes,1,a verificar — vocabulário temático compartilhado
havana_iii,natura_3cs,1,a verificar — vocabulário temático compartilhado
havana_iii,mercato_brasil,1,a verificar — vocabulário temático compartilhado
3cs_perfumes,biome,1,a verificar — vocabulário temático compartilhado
