cluster_label,media,n
km_008,0.29378408348918167,403
km_006,0.3015841750905086,208
km_014,0.3905551922638926,253
km_002,0.4257936787183203,404
km_005,0.6556531629291087,385
km_011,0.6983075570426506,122
km_010,0.8157150193420203,209
km_016,0.8284915788241495,159
km_009,0.9198764731564251,346
km_013,0.9597829148277338,454
km_017,1.0112752003868148,417
km_012,1.0536681712662126,170
km_004,1.0903529287698086,334
km_003,1.3985383180394344,365
km_015,1.4486521426434469,143
km_001,1.5332783711534874,185
km_000,1.7048716963586605,238
km_007,2.2602776046279613,181
